


                       Node(122)                     Node(123)                     Node(124)

     time        hNew    theta    Temp         hNew    theta    Temp         hNew    theta    Temp    
    145.000    -72.115   .3480   20.000      -90.883   .3346   20.000      -90.487   .3348   20.000
    147.500    -72.826   .3476   20.000      -91.593   .3340   20.000      -91.198   .3343   20.000
    150.000    -73.522   .3472   20.000      -92.284   .3335   20.000      -91.891   .3338   20.000
    154.833    -74.800   .3464   20.000      -93.554   .3326   20.000      -93.165   .3329   20.000
    159.667    -76.026   .3456   20.000      -94.773   .3317   20.000      -94.387   .3320   20.000
    164.500    -77.180   .3447   20.000      -95.920   .3308   20.000      -95.538   .3311   20.000
    169.333    -78.291   .3439   20.000      -97.015   .3299   20.000      -96.640   .3302   20.000
    174.167    -79.375   .3431   20.000      -98.079   .3291   20.000      -97.710   .3294   20.000
    179.000    -80.411   .3423   20.000      -99.098   .3283   20.000      -98.736   .3285   20.000
    184.000    -81.436   .3415   20.000     -100.106   .3275   20.000      -99.751   .3277   20.000
    189.000    -82.418   .3408   20.000     -101.071   .3267   20.000     -100.722   .3270   20.000
    194.000    -83.359   .3401   20.000     -101.994   .3260   20.000     -101.653   .3262   20.000
    197.000    -83.910   .3397   20.000     -102.535   .3255   20.000     -102.198   .3258   20.000
    200.000    -84.445   .3393   20.000     -103.061   .3251   20.000     -102.727   .3254   20.000
    205.000    -85.302   .3387   20.000     -103.900   .3244   20.000     -103.573   .3247   20.000
    210.000    -86.127   .3381   20.000     -104.707   .3238   20.000     -104.387   .3240   20.000
    213.500    -86.689   .3377   20.000     -105.256   .3234   20.000     -104.941   .3236   20.000
    217.000    -87.233   .3373   20.000     -105.789   .3229   20.000     -105.478   .3232   20.000
    217.002    -87.234   .3373   20.000     -105.800   .3229   20.000     -105.479   .3232   20.000
    217.005    -87.234   .3373   20.000     -105.845   .3229   20.000     -105.480   .3232   20.000
    217.008    -87.234   .3373   20.000     -105.931   .3228   20.000     -105.481   .3232   20.000
    217.012    -87.235   .3373   20.000     -106.057   .3227   20.000     -105.484   .3232   20.000
    217.018    -87.236   .3373   20.000     -106.216   .3226   20.000     -105.493   .3232   20.000
    217.026    -87.237   .3373   20.000     -106.397   .3224   20.000     -105.510   .3231   20.000
    217.035    -87.239   .3372   20.000     -106.593   .3223   20.000     -105.540   .3231   20.000
    217.048    -87.241   .3372   20.000     -106.797   .3221   20.000     -105.588   .3231   20.000
    217.064    -87.243   .3372   20.000     -107.003   .3220   20.000     -105.653   .3230   20.000
    217.085    -87.246   .3372   20.000     -107.205   .3218   20.000     -105.735   .3230   20.000
    217.112    -87.251   .3372   20.000     -107.410   .3216   20.000     -105.837   .3229   20.000
    217.148    -87.256   .3372   20.000     -107.606   .3215   20.000     -105.950   .3228   20.000
    217.192    -87.263   .3372   20.000     -107.791   .3213   20.000     -106.071   .3227   20.000
    217.253    -87.273   .3372   20.000     -107.985   .3212   20.000     -106.214   .3226   20.000
    217.336    -87.288   .3372   20.000     -108.183   .3210   20.000     -106.373   .3225   20.000
    217.418    -87.306   .3372   20.000     -108.347   .3209   20.000     -106.514   .3223   20.000
    217.500    -87.325   .3372   20.000     -108.490   .3208   20.000     -106.644   .3222   20.000
    217.634    -87.364   .3372   20.000     -108.695   .3206   20.000     -106.835   .3221   20.000
    217.807    -87.426   .3371   20.000     -108.935   .3204   20.000     -107.065   .3219   20.000
    218.033    -87.524   .3370   20.000     -109.224   .3202   20.000     -107.345   .3217   20.000
    218.326    -87.674   .3369   20.000     -109.575   .3199   20.000     -107.687   .3214   20.000
    218.705    -87.898   .3368   20.000     -110.004   .3196   20.000     -108.103   .3211   20.000
    219.199    -88.225   .3365   20.000     -110.529   .3192   20.000     -108.613   .3207   20.000
    219.831    -88.678   .3362   20.000     -111.164   .3186   20.000     -109.231   .3202   20.000
    220.674    -89.316   .3357   20.000     -111.972   .3180   20.000     -110.016   .3196   20.000
    221.776    -90.179   .3351   20.000     -112.988   .3172   20.000     -111.002   .3188   20.000
    223.245    -91.341   .3342   20.000     -114.300   .3162   20.000     -112.273   .3178   20.000
    225.204    -92.880   .3331   20.000     -116.000   .3148   20.000     -113.916   .3164   20.000
    227.163    -94.391   .3319   20.000     -117.668   .3135   20.000     -115.523   .3152   20.000
    229.122    -95.874   .3308   20.000     -119.314   .3121   20.000     -117.103   .3139   20.000
    231.082    -97.335   .3297   20.000     -120.939   .3109   20.000     -118.662   .3127   20.000
    233.041    -98.780   .3285   20.000     -122.529   .3097   20.000     -120.204   .3114   20.000
