 Welcome to HYDRUS-2D                                                    
 
 Program HYDRUS2
 Date:  18. 2.    Time:  13:52:45
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = m    , T = days , M = mmol 


 Time:       .1000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    6    6     .0    1.7   -3   .000E+00   .000E+00        -.6   .283     20.00  .660E+00
    7    7     .0    1.7   -3   .000E+00   .000E+00        -.6   .283     20.00  .669E+00
    8    8     .0    1.7   -3   .000E+00   .000E+00        -.6   .283     20.00  .674E+00
    9    9     .0    1.7   -3   .000E+00   .000E+00        -.6   .283     20.00  .664E+00
   10   30    -.5     .5   -6  -.529E-05   .952E-04       -1.5   .212     20.00  .000E+00
   11   31    -.4     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   12   32    -.3     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   13   33    -.2     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   14   34    -.1     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   15   35     .1     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   16   36     .2     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   17   37     .3     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   18   38     .4     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   19   39     .5     .5   -6  -.529E-05   .952E-04       -1.5   .212     20.00  .000E+00
   20   66     .2    2.0   -4   .000E+00   .000E+00       -1.8   .201     20.00  .344E-14
   21   67     .2    2.0   -4   .000E+00   .000E+00       -2.0   .192     20.00  .466E-12
   22   68     .1    2.0   -4   .000E+00   .000E+00       -2.2   .188     20.00  .923E-10
   23   69     .1    2.0   -4   .000E+00   .000E+00       -2.2   .186     20.00  .125E-08
   24   70     .1    2.0   -4   .000E+00   .000E+00       -2.2   .186     20.00  .853E-08
   25   71     .0    2.0   -4   .000E+00   .000E+00       -2.2   .186     20.00  .203E-07
   26   72     .0    2.0   -4   .000E+00   .000E+00       -2.2   .186     20.00  .223E-07
   27   73    -.1    2.0   -4   .000E+00   .000E+00       -2.2   .186     20.00  .136E-07
   28   74    -.1    2.0   -4   .000E+00   .000E+00       -2.2   .186     20.00  .610E-08
   29   75    -.1    2.0   -4   .000E+00   .000E+00       -2.2   .188     20.00  .159E-09
   30   76    -.2    2.0   -4   .000E+00   .000E+00       -2.0   .192     20.00  .920E-11


 Time:      2.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1    1     .0    1.7   -3   .000E+00   .000E+00        -.8   .265     20.00  .648E+00
    2    2     .0    1.7   -3   .000E+00   .000E+00        -.8   .266     20.00  .634E+00
    3    3     .0    1.7   -3   .000E+00   .000E+00        -.7   .267     20.00  .628E+00
    4    4     .0    1.7   -3   .000E+00   .000E+00        -.8   .266     20.00  .632E+00
    5    5     .0    1.7   -3   .000E+00   .000E+00        -.8   .265     20.00  .647E+00
    6    6     .0    1.7   -3   .000E+00   .000E+00        -.8   .264     20.00  .656E+00
    7    7     .0    1.7   -3   .000E+00   .000E+00        -.8   .263     20.00  .658E+00
    8    8     .0    1.7   -3   .000E+00   .000E+00        -.8   .263     20.00  .662E+00
    9    9     .0    1.7   -3   .000E+00   .000E+00        -.8   .263     20.00  .657E+00
   10   30    -.5     .5   -6  -.529E-05   .952E-04       -1.5   .212     20.00  .000E+00
   11   31    -.4     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   12   32    -.3     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   13   33    -.2     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   14   34    -.1     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   15   35     .1     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   16   36     .2     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   17   37     .3     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   18   38     .4     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   19   39     .5     .5   -6  -.529E-05   .952E-04       -1.5   .212     20.00  .000E+00
   20   66     .2    2.0   -4   .000E+00   .000E+00       -1.8   .198     20.00  .653E-12
   21   67     .2    2.0   -4   .000E+00   .000E+00       -2.2   .187     20.00  .403E-10
   22   68     .1    2.0   -4   .000E+00   .000E+00       -2.4   .181     20.00  .432E-08
   23   69     .1    2.0   -4   .000E+00   .000E+00       -2.5   .179     20.00  .116E-06
   24   70     .1    2.0   -4   .000E+00   .000E+00       -2.5   .179     20.00  .602E-06
   25   71     .0    2.0   -4   .000E+00   .000E+00       -2.5   .179     20.00  .122E-05
   26   72     .0    2.0   -4   .000E+00   .000E+00       -2.5   .179     20.00  .132E-05
   27   73    -.1    2.0   -4   .000E+00   .000E+00       -2.5   .179     20.00  .877E-06
   28   74    -.1    2.0   -4   .000E+00   .000E+00       -2.5   .179     20.00  .395E-06
   29   75    -.1    2.0   -4   .000E+00   .000E+00       -2.4   .181     20.00  .744E-08
   30   76    -.2    2.0   -4   .000E+00   .000E+00       -2.2   .187     20.00  .500E-09


 Time:      3.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1    1     .0    1.7   -3   .171E-02  -.250E+00        -.1   .410     20.00  .778E-01
    2    2     .0    1.7   -3   .171E-02  -.250E+00        -.1   .410     20.00  .751E-01
    3    3     .0    1.7   -3   .171E-02  -.250E+00        -.1   .410     20.00  .735E-01
    4    4     .0    1.7   -3   .171E-02  -.250E+00        -.1   .410     20.00  .741E-01
    5    5     .0    1.7   -3   .171E-02  -.250E+00        -.1   .410     20.00  .758E-01
    6    6     .0    1.7   -3   .171E-02  -.250E+00        -.1   .410     20.00  .807E-01
    7    7     .0    1.7   -3   .171E-02  -.250E+00        -.1   .410     20.00  .860E-01
    8    8     .0    1.7   -3   .171E-02  -.250E+00        -.1   .410     20.00  .874E-01
    9    9     .0    1.7   -3   .171E-02  -.250E+00        -.1   .410     20.00  .828E-01
   10   30    -.5     .5   -6  -.529E-05   .952E-04       -1.5   .212     20.00  .000E+00
   11   31    -.4     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   12   32    -.3     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   13   33    -.2     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   14   34    -.1     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   15   35     .1     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   16   36     .2     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   17   37     .3     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   18   38     .4     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .000E+00
   19   39     .5     .5   -6  -.529E-05   .952E-04       -1.5   .212     20.00  .000E+00
   20   66     .2    2.0   -4   .000E+00   .000E+00       -2.0   .193     20.00  .684E-10
   21   67     .2    2.0   -4   .000E+00   .000E+00       -2.6   .178     20.00  .269E-08
   22   68     .1    2.0   -4   .000E+00   .000E+00       -3.1   .169     20.00  .187E-06
   23   69     .1    2.0   -4   .000E+00   .000E+00       -3.3   .166     20.00  .676E-05
   24   70     .1    2.0   -4   .000E+00   .000E+00       -3.3   .166     20.00  .254E-04
   25   71     .0    2.0   -4   .000E+00   .000E+00       -3.3   .166     20.00  .450E-04
   26   72     .0    2.0   -4   .000E+00   .000E+00       -3.3   .166     20.00  .479E-04
   27   73    -.1    2.0   -4   .000E+00   .000E+00       -3.3   .166     20.00  .340E-04
   28   74    -.1    2.0   -4   .000E+00   .000E+00       -3.3   .166     20.00  .166E-04
   29   75    -.1    2.0   -4   .000E+00   .000E+00       -3.1   .169     20.00  .714E-06
   30   76    -.2    2.0   -4   .000E+00   .000E+00       -2.6   .178     20.00  .186E-07


 Time:      4.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1    1     .0    1.7   -3   .000E+00   .000E+00        -.6   .285     20.00  .107E+00
    2    2     .0    1.7   -3   .000E+00   .000E+00        -.6   .287     20.00  .103E+00
    3    3     .0    1.7   -3   .000E+00   .000E+00        -.6   .287     20.00  .102E+00
    4    4     .0    1.7   -3   .000E+00   .000E+00        -.6   .287     20.00  .103E+00
    5    5     .0    1.7   -3   .000E+00   .000E+00        -.6   .286     20.00  .105E+00
    6    6     .0    1.7   -3   .000E+00   .000E+00        -.6   .285     20.00  .108E+00
    7    7     .0    1.7   -3   .000E+00   .000E+00        -.6   .284     20.00  .109E+00
    8    8     .0    1.7   -3   .000E+00   .000E+00        -.6   .284     20.00  .109E+00
    9    9     .0    1.7   -3   .000E+00   .000E+00        -.6   .284     20.00  .109E+00
   10   30    -.5     .5   -6  -.529E-05   .952E-04       -1.5   .212     20.00  .298E-29
   11   31    -.4     .5   -6  -.106E-04   .952E-04       -1.5   .212     20.00  .402E-28
