


                               Node( 53)                                           Node(107)                                           Node(136)                                           Node(278)                                           Node(408)                                           Node(593)

     time        hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb    
       .031     -1.500   .2117   20.000   .000E+00   .000E+00       -1.511   .2112   20.000   .397E-05   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.511   .2112   20.000   .127E-20   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .442E-17   .000E+00
       .032     -1.500   .2117   20.000   .000E+00   .000E+00       -1.511   .2112   20.000   .542E-05   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.512   .2111   20.000   .198E-20   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .629E-17   .000E+00
       .034     -1.500   .2117   20.000   .000E+00   .000E+00       -1.512   .2111   20.000   .799E-05   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.512   .2111   20.000   .347E-20   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .985E-17   .000E+00
       .035     -1.500   .2117   20.000   .000E+00   .000E+00       -1.512   .2111   20.000   .115E-04   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.513   .2111   20.000   .590E-20   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .152E-16   .000E+00
       .036     -1.500   .2117   20.000   .000E+00   .000E+00       -1.512   .2111   20.000   .162E-04   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.513   .2111   20.000   .980E-20   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .231E-16   .000E+00
       .038     -1.500   .2117   20.000   .000E+00   .000E+00       -1.513   .2111   20.000   .224E-04   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.514   .2111   20.000   .159E-19   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .346E-16   .000E+00
       .039     -1.500   .2117   20.000   .000E+00   .000E+00       -1.513   .2111   20.000   .306E-04   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.514   .2110   20.000   .251E-19   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .512E-16   .000E+00
       .041     -1.500   .2117   20.000   .000E+00   .000E+00       -1.513   .2111   20.000   .413E-04   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.515   .2110   20.000   .389E-19   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .749E-16   .000E+00
       .042     -1.500   .2117   20.000   .000E+00   .000E+00       -1.514   .2111   20.000   .598E-04   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.515   .2110   20.000   .673E-19   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .121E-15   .000E+00
       .044     -1.500   .2117   20.000   .000E+00   .000E+00       -1.514   .2111   20.000   .850E-04   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.516   .2110   20.000   .113E-18   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .193E-15   .000E+00
       .046     -1.500   .2117   20.000   .000E+00   .000E+00       -1.514   .2111   20.000   .118E-03   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.517   .2109   20.000   .187E-18   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .301E-15   .000E+00
       .048     -1.500   .2117   20.000   .000E+00   .000E+00       -1.514   .2111   20.000   .162E-03   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.517   .2109   20.000   .305E-18   .000E+00       -1.500   .2117   20.000   .000E+00   .000E+00       -1.500   .2117   20.000   .464E-15   .000E+00
