Pcp_File_Version=2
*** BLOCK ?: DOMAIN INFORMATION ******************************************************
Number of Solutes   Equilibrium
    1              1
Nodal Information
    n   Code       h           Q        M     Beta     Axz      Bxz      Dxz     Temp     Conc(1..NS)   
  202     0          20             0   4       0        1        1        1          20            0 
  203     0          20             0   4       0        1        1        1          20            0 
  204     0          20             0   4       0        1        1        1          20            0 
  205     0          10             0   4       0        1        1        1          20            0 
  206     0          10             0   4       0        1        1        1          20            0 
  207     0          10             0   4       0        1        1        1          20            0 
  208     0          10             0   4       0        1        1        1          20            0 
  209     0          10             0   4       0        1        1        1          20            0 
  210     0          10             0   4       0        1        1        1          20            0 
  211     0          10             0   4       0        1        1        1          20            0 
  212     0          10             0   4       0        1        1        1          20            0 
  213     0          10             0   4       0        1        1        1          20            0 
  214     0          10             0   4       0        1        1        1          20            0 
  215     0          10             0   4       0        1        1        1          20            0 
  216     0          10             0   4       0        1        1        1          20            0 
  217     0          10             0   4       0        1        1        1          20            0 
  218     0          10             0   4       0        1        1        1          20            0 
  219     0          10             0   4       0        1        1        1          20            0 
  220     0          10             0   4       0        1        1        1          20            0 
  221     0          10             0   4       0        1        1        1          20            0 
  222     0          10             0   4       0        1        1        1          20            0 
  223     0          10             0   4       0        1        1        1          20            0 
  224     0           3             0   4       0        1        1        1          20            0 
  225     0           3             0   4       0        1        1        1          20            0 
  226     0           3             0   4       0        1        1        1          20            0 
  227     0           3             0   4       0        1        1        1          20            0 
  228     0           3             0   4       0        1        1        1          20            0 
  229     0           3             0   4       0        1        1        1          20            0 
  230     0           3             0   4       0        1        1        1          20            0 
  231     0           3             0   4       0        1        1        1          20            0 
  232     0           3             0   4       0        1        1        1          20            0 
  233     0           3             0   4       0        1        1        1          20            0 
  234     0           3             0   4       0        1        1        1          20            0 
  235     0           3             0   4       0        1        1        1          20            0 
  236     0           3             0   4       0        1        1        1          20            0 
  237     0           3             0   4       0        1        1        1          20            0 
  238     0           3             0   4       0        1        1        1          20            0 
  239     0           3             0   4       0        1        1        1          20            0 
  240     0           3             0   4       0        1        1        1          20            0 
  241     0           3             0   4       0        1        1        1          20            0 
  242     0           3             0   4       0        1        1        1          20            0 
  243     0           0             0   4       0        1        1        1          20            0 
  244     0           0             0   4       0        1        1        1          20            0 
  245     0           0             0   4       0        1        1        1          20            0 
  246     0           0             0   4       0        1        1        1          20            0 
  247     0           0             0   4       0        1        1        1          20            0 
  248     0           0             0   4       0        1        1        1          20            0 
  249     0           0             0   4       0        1        1        1          20            0 
  250     0           0             0   4       0        1        1        1          20            0 
  251     0           0             0   4       0        1        1        1          20            0 
  252     0           0             0   4       0        1        1        1          20            0 
  253     0           0             0   4       0        1        1        1          20            0 
  254     0           0             0   4       0        1        1        1          20            0 
  255     0           0             0   4       0        1        1        1          20            0 
  256     0           0             0   4       0        1        1        1          20            0 
  257     0           0             0   4       0        1        1        1          20            0 
  258     0           0             0   4       0        1        1        1          20            0 
  259     0           0             0   4       0        1        1        1          20            0 
  260     0           0             0   4       0        1        1        1          20            0 
  261     0           0             0   4       0        1        1        1          20            0 
  262     0          -3             0   4       0        1        1        1          20            0 
  263     0          -3             0   4       0        1        1        1          20            0 
  264     0          -3             0   4       0        1        1        1          20            0 
  265     0          -3             0   4       0        1        1        1          20            0 
  266     0          -3             0   4       0        1        1        1          20            0 
  267     0          -3             0   4       0        1        1        1          20            0 
  268     0          -3             0   4       0        1        1        1          20            0 
  269     0          -3             0   4       0        1        1        1          20            0 
  270     0          -3             0   4       0        1        1        1          20            0 
  271     0          -3             0   4       0        1        1        1          20            0 
  272     0          -3             0   4       0        1        1        1          20            0 
  273     0          -3             0   4       0        1        1        1          20            0 
  274     0          -3             0   4       0        1        1        1          20            0 
  275     0          -3             0   4       0        1        1        1          20            0 
  276     0          -3             0   4       0        1        1        1          20            0 
  277     0          -3             0   4       0        1        1        1          20            0 
  278     0          -3             0   4       0        1        1        1          20            0 
  279     0          -3             0   4       0        1        1        1          20            0 
  280     0          -3             0   4       0        1        1        1          20            0 
  281     0         -10             0   4       0        1        1        1          20            0 
  282     0         -10             0   4       0        1        1        1          20            0 
  283     0         -10             0   4       0        1        1        1          20            0 
  284     0         -10             0   4       0        1        1        1          20            0 
  285     0         -10             0   4       0        1        1        1          20            0 
  286     0         -10             0   4       0        1        1        1          20            0 
  287     0         -10             0   4       0        1        1        1          20            0 
  288     0         -10             0   4       0        1        1        1          20            0 
  289     0         -10             0   4       0        1        1        1          20            0 
  290     0         -10             0   4       0        1        1        1          20            0 
  291     0         -10             0   4       0        1        1        1          20            0 
  292     0         -10             0   4       0        1        1        1          20            0 
  293     0         -10             0   4       0        1        1        1          20            0 
  294     0         -10             0   4       0        1        1        1          20            0 
  295     0         -10             0   4       0        1        1        1          20            0 
  296     0         -10             0   4       0        1        1        1          20            0 
  297     0         -10             0   4       0        1        1        1          20            0 
  298     0         -10             0   4       0        1        1        1          20            0 
  299     0         -10             0   4       0        1        1        1          20            0 
  300     0         -20             0   4       0        1        1        1          20            0 
  301     0         -20             0   4       0        1        1        1          20            0 
  302     0         -20             0   4       0        1        1        1          20            0 
  303     0         -20             0   4       0        1        1        1          20            0 
  304     0         -20             0   4       0        1        1        1          20            0 
  305     0         -20             0   4       0        1        1        1          20            0 
  306     0         -20             0   4       0        1        1        1          20            0 
  307     0         -20             0   4       0        1        1        1          20            0 
  308     0         -20             0   4       0        1        1        1          20            0 
  309     0         -20             0   4       0        1        1        1          20            0 
  310     0         -20             0   4       0        1        1        1          20            0 
  311     0         -20             0   4       0        1        1        1          20            0 
  312     0         -20             0   4       0        1        1        1          20            0 
  313     0         -20             0   4       0        1        1        1          20            0 
  314     0         -20             0   4       0        1        1        1          20            0 
  315     0         -20             0   4       0        1        1        1          20            0 
  316     0         -20             0   4       0        1        1        1          20            0 
  317     0         -20             0   4       0        1        1        1          20            0 
  318     0         -20             0   4       0        1        1        1          20            0 
  319     0         -30             0   3       0        1        1        1          20            0 
  320     0         -30             0   3       0        1        1        1          20            0 
  321     0         -30             0   3       0        1        1        1          20            0 
  322     0         -30             0   3       0        1        1        1          20            0 
  323     0         -30             0   3       0        1        1        1          20            0 
  324     0         -30             0   3       0        1        1        1          20            0 
  325     0         -30             0   3       0        1        1        1          20            0 
  326     0         -30             0   3       0        1        1        1          20            0 
  327     0         -30             0   3       0        1        1        1          20            0 
  328     0         -30             0   3       0        1        1        1          20            0 
  329     0         -30             0   3       0        1        1        1          20            0 
  330     0         -30             0   3       0        1        1        1          20            0 
  331     0         -30             0   3       0        1        1        1          20            0 
  332     0         -30             0   3       0        1        1        1          20            0 
  333     0         -30             0   3       0        1        1        1          20            0 
  334     0         -30             0   3       0        1        1        1          20            0 
  335     0         -30             0   3       0        1        1        1          20            0 
  336     0         -30             0   3       0        1        1        1          20            0 
  337     0         -30             0   3       0        1        1        1          20            0 
  338     0         -40             0   3       0        1        1        1          20            0 
  339     0         -40             0   3       0        1        1        1          20            0 
  340     0         -40             0   3       0        1        1        1          20            0 
  341     0         -40             0   3       0        1        1        1          20            0 
  342     0         -40             0   3       0        1        1        1          20            0 
  343     0         -40             0   3       0        1        1        1          20            0 
  344     0         -40             0   3       0        1        1        1          20            0 
  345     0         -40             0   3       0        1        1        1          20            0 
  346     0         -40             0   3       0        1        1        1          20            0 
  347     0         -40             0   3       0        1        1        1          20            0 
  348     0         -40             0   3       0        1        1        1          20            0 
  349     0         -40             0   3       0        1        1        1          20            0 
  350     0         -40             0   3       0        1        1        1          20            0 
  351     0         -40             0   3       0        1        1        1          20            0 
  352     0         -40             0   3       0        1        1        1          20            0 
  353     0         -40             0   3       0        1        1        1          20            0 
  354     0         -40             0   3       0        1        1        1          20            0 
  355     0         -40             0   3       0        1        1        1          20            0 
  356     0         -40             0   3       0        1        1        1          20            0 
  357     0         -50             0   3       0        1        1        1          20            0 
  358     0         -50             0   3       0        1        1        1          20            0 
  359     0         -50             0   3       0        1        1        1          20            0 
  360     0         -50             0   3       0        1        1        1          20            0 
  361     0         -50             0   3       0        1        1        1          20            0 
  362     0         -50             0   3       0        1        1        1          20            0 
  363     0         -50             0   3       0        1        1        1          20            0 
  364     0         -50             0   3       0        1        1        1          20            0 
  365     0         -50             0   3       0        1        1        1          20            0 
  366     0         -50             0   3       0        1        1        1          20            0 
  367     0         -50             0   3       0        1        1        1          20            0 
  368     0         -50             0   3       0        1        1        1          20            0 
  369     0         -50             0   3       0        1        1        1          20            0 
  370     0         -50             0   3       0        1        1        1          20            0 
  371     0         -50             0   3       0        1        1        1          20            0 
  372     0         -50             0   3       0        1        1        1          20            0 
  373     0         -50             0   3       0        1        1        1          20            0 
  374     0         -50             0   3       0        1        1        1          20            0 
  375     0         -50             0   3       0        1        1        1          20            0 
  376     0         -60             0   3       0        1        1        1          20            0 
  377     0         -60             0   3       0        1        1        1          20            0 
  378     0         -60             0   3       0        1        1        1          20            0 
  379     0         -60             0   3       0        1        1        1          20            0 
  380     0         -60             0   3       0        1        1        1          20            0 
  381     0         -60             0   3       0        1        1        1          20            0 
  382     0         -60             0   3       0        1        1        1          20            0 
  383     0         -60             0   3       0        1        1        1          20            0 
  384     0         -60             0   3       0        1        1        1          20            0 
  385     0         -60             0   3       0        1        1        1          20            0 
  386     0         -60             0   3       0        1        1        1          20            0 
  387     0         -60             0   3       0        1        1        1          20            0 
  388     0         -60             0   3       0        1        1        1          20            0 
  389     0         -60             0   3       0        1        1        1          20            0 
  390     0         -60             0   3       0        1        1        1          20            0 
  391     0         -60             0   3       0        1        1        1          20            0 
  392     0         -60             0   3       0        1        1        1          20            0 
  393     0         -60             0   3       0        1        1        1          20            0 
  394     0         -60             0   3       0        1        1        1          20            0 
  395     0         -62             0   2       0        1        1        1          20            0 
  396     0         -62             0   2       0        1        1        1          20            0 
  397     0         -62             0   2       0        1        1        1          20            0 
  398     0         -62             0   2       0        1        1        1          20            0 
  399     0         -62             0   2       0        1        1        1          20            0 
  400     0         -62             0   2       0        1        1        1          20            0 
  401     0         -62             0   2       0        1        1        1          20            0 
  402     0         -62             0   2       0        1        1        1          20            0 
  403     0         -62             0   2       0        1        1        1          20            0 
  404     0         -62             0   2       0        1        1        1          20            0 
  405     0         -62             0   2       0        1        1        1          20            0 
  406     0         -62             0   2       0        1        1        1          20            0 
  407     0         -62             0   2       0        1        1        1          20            0 
  408     0         -62             0   2       0        1        1        1          20            0 
  409     0         -62             0   2       0        1        1        1          20            0 
  410     0         -62             0   2       0        1        1        1          20            0 
  411     0         -62             0   2       0        1        1        1          20            0 
  412     0         -62             0   2       0        1        1        1          20            0 
  413     0         -62             0   2       0        1        1        1          20            0 
  414     0       -64.5             0   2       0        1        1        1          20            0 
  415     0       -64.5             0   2       0        1        1        1          20            0 
  416     0       -64.5             0   2       0        1        1        1          20            0 
  417     0       -64.5             0   2       0        1        1        1          20            0 
  418     0       -64.5             0   2       0        1        1        1          20            0 
  419     0       -64.5             0   2       0        1        1        1          20            0 
  420     0       -64.5             0   2       0        1        1        1          20            0 
