


                               Node(280)                                           Node(331)                                           Node(443)                                           Node(517)

     time        hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb    
     21.824     -2.993   .3411   20.000   .938E-16   .000E+00      -29.843   .3208   20.000   .190E-11   .000E+00      -66.321   .2785   20.000   .525E-05   .000E+00      -42.192   .3729   20.000   .874E-02   .000E+00
     21.838     -2.993   .3411   20.000   .944E-16   .000E+00      -29.843   .3208   20.000   .191E-11   .000E+00      -66.321   .2785   20.000   .527E-05   .000E+00      -39.578   .3750   20.000   .880E-02   .000E+00
     21.851     -2.993   .3411   20.000   .949E-16   .000E+00      -29.843   .3208   20.000   .192E-11   .000E+00      -66.320   .2785   20.000   .528E-05   .000E+00      -37.113   .3772   20.000   .885E-02   .000E+00
     21.865     -2.993   .3411   20.000   .955E-16   .000E+00      -29.843   .3208   20.000   .193E-11   .000E+00      -66.320   .2785   20.000   .529E-05   .000E+00      -34.840   .3792   20.000   .891E-02   .000E+00
     21.878     -2.993   .3411   20.000   .961E-16   .000E+00      -29.843   .3208   20.000   .194E-11   .000E+00      -66.319   .2785   20.000   .531E-05   .000E+00      -32.708   .3812   20.000   .896E-02   .000E+00
     21.892     -2.993   .3411   20.000   .967E-16   .000E+00      -29.843   .3208   20.000   .195E-11   .000E+00      -66.317   .2785   20.000   .532E-05   .000E+00      -30.751   .3832   20.000   .902E-02   .000E+00
     21.910     -2.993   .3411   20.000   .974E-16   .000E+00      -29.843   .3208   20.000   .196E-11   .000E+00      -66.315   .2785   20.000   .534E-05   .000E+00      -28.381   .3856   20.000   .910E-02   .000E+00
     21.928     -2.993   .3411   20.000   .982E-16   .000E+00      -29.843   .3208   20.000   .197E-11   .000E+00      -66.311   .2785   20.000   .535E-05   .000E+00      -26.238   .3879   20.000   .918E-02   .000E+00
     21.946     -2.993   .3411   20.000   .990E-16   .000E+00      -29.843   .3208   20.000   .199E-11   .000E+00      -66.307   .2785   20.000   .537E-05   .000E+00      -24.364   .3900   20.000   .925E-02   .000E+00
     21.964     -2.993   .3411   20.000   .998E-16   .000E+00      -29.843   .3208   20.000   .200E-11   .000E+00      -66.301   .2785   20.000   .539E-05   .000E+00      -22.652   .3920   20.000   .933E-02   .000E+00
     21.982     -2.993   .3411   20.000   .101E-15   .000E+00      -29.844   .3208   20.000   .201E-11   .000E+00      -66.294   .2785   20.000   .541E-05   .000E+00      -21.148   .3939   20.000   .941E-02   .000E+00
     22.000     -2.993   .3411   20.000   .101E-15   .000E+00      -29.844   .3208   20.000   .203E-11   .000E+00      -66.285   .2785   20.000   .543E-05   .000E+00      -19.783   .3956   20.000   .949E-02   .000E+00
     22.018     -2.993   .3411   20.000   .102E-15   .000E+00      -29.844   .3208   20.000   .204E-11   .000E+00      -66.273   .2785   20.000   .544E-05   .000E+00      -18.571   .3971   20.000   .956E-02   .000E+00
