 Tracer-Experiment W. Wichtmann, Drän = 1 Knoten                         
 
 Program HYDRUS2
 Date:  16. 8.    Time:  19:16:42
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mg   

 Max. number of iterations             30
 Absolute water content tolerance [-]  .00050
 Absolute pressure head tolerance [L]10.00000



MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l

    1     .100   .425    .440E-01    .119E+01    .179E+02   .500
    2     .100   .324    .317E-01    .122E+01    .102E+02   .500
    3     .000   .352    .282E-01    .119E+01    .212E+02   .500
    4     .100   .343    .236E-01    .115E+01    .219E+02   .500

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S
 
   .3236   -.604E+00  -.2192E+00   .6493E-03   .3510E+01   .5453E+00     .9986
   .3236   -.684E+00  -.1647E+00   .6666E-03   .3371E+01   .5278E+00     .9983
   .3235   -.776E+00  -.1102E+00   .6843E-03   .3232E+01   .5095E+00     .9980
   .3235   -.880E+00  -.5567E-01   .7022E-03   .3092E+01   .4903E+00     .9977
   .3234   -.997E+00  -.1145E-02   .7204E-03   .2952E+01   .4701E+00     .9974
   .3233   -.113E+01   .5338E-01   .7387E-03   .2812E+01   .4490E+00     .9969
   .3232   -.128E+01   .1079E+00   .7572E-03   .2671E+01   .4267E+00     .9964
   .3230   -.145E+01   .1624E+00   .7757E-03   .2531E+01   .4033E+00     .9958
   .3229   -.165E+01   .2170E+00   .7941E-03   .2391E+01   .3786E+00     .9951
   .3227   -.187E+01   .2715E+00   .8124E-03   .2252E+01   .3525E+00     .9944
   .3225   -.212E+01   .3260E+00   .8305E-03   .2114E+01   .3251E+00     .9934
   .3223   -.240E+01   .3805E+00   .8481E-03   .1977E+01   .2961E+00     .9924
   .3220   -.272E+01   .4351E+00   .8651E-03   .1843E+01   .2654E+00     .9911
   .3217   -.309E+01   .4896E+00   .8814E-03   .1710E+01   .2330E+00     .9897
   .3213   -.350E+01   .5441E+00   .8967E-03   .1580E+01   .1987E+00     .9881
   .3209   -.397E+01   .5986E+00   .9107E-03   .1453E+01   .1624E+00     .9862
   .3204   -.450E+01   .6532E+00   .9232E-03   .1330E+01   .1239E+00     .9840
   .3198   -.510E+01   .7077E+00   .9339E-03   .1211E+01   .8301E-01     .9815
   .3192   -.578E+01   .7622E+00   .9424E-03   .1096E+01   .3967E-01     .9787
   .3185   -.656E+01   .8167E+00   .9483E-03   .9855E+00  -.6325E-02     .9754
   .3176   -.743E+01   .8712E+00   .9513E-03   .8808E+00  -.5515E-01     .9717
   .3167   -.843E+01   .9258E+00   .9509E-03   .7817E+00  -.1070E+00     .9675
   .3156   -.956E+01   .9803E+00   .9470E-03   .6887E+00  -.1620E+00     .9627
   .3144   -.108E+02   .1035E+01   .9390E-03   .6022E+00  -.2203E+00     .9573
   .3130   -.123E+02   .1089E+01   .9268E-03   .5223E+00  -.2821E+00     .9513
   .3115   -.139E+02   .1144E+01   .9101E-03   .4492E+00  -.3476E+00     .9445
   .3099   -.158E+02   .1198E+01   .8888E-03   .3829E+00  -.4169E+00     .9370
   .3080   -.179E+02   .1253E+01   .8629E-03   .3236E+00  -.4900E+00     .9288
   .3060   -.203E+02   .1307E+01   .8326E-03   .2709E+00  -.5671E+00     .9197
   .3038   -.230E+02   .1362E+01   .7982E-03   .2247E+00  -.6483E+00     .9098
   .3014   -.261E+02   .1416E+01   .7601E-03   .1847E+00  -.7335E+00     .8991
   .2988   -.296E+02   .1471E+01   .7189E-03   .1504E+00  -.8228E+00     .8876
   .2960   -.335E+02   .1526E+01   .6752E-03   .1213E+00  -.9160E+00     .8753
   .2931   -.380E+02   .1580E+01   .6298E-03   .9702E-01  -.1013E+01     .8622
   .2900   -.431E+02   .1635E+01   .5834E-03   .7691E-01  -.1114E+01     .8484
   .2868   -.489E+02   .1689E+01   .5368E-03   .6046E-01  -.1219E+01     .8340
   .2834   -.554E+02   .1744E+01   .4907E-03   .4716E-01  -.1326E+01     .8191
   .2800   -.628E+02   .1798E+01   .4459E-03   .3651E-01  -.1438E+01     .8036
   .2764   -.712E+02   .1853E+01   .4027E-03   .2807E-01  -.1552E+01     .7877
   .2728   -.808E+02   .1907E+01   .3618E-03   .2144E-01  -.1669E+01     .7714
   .2691   -.916E+02   .1962E+01   .3233E-03   .1628E-01  -.1788E+01     .7549
   .2653   -.104E+03   .2016E+01   .2876E-03   .1230E-01  -.1910E+01     .7383
   .2616   -.118E+03   .2071E+01   .2548E-03   .9246E-02  -.2034E+01     .7215
   .2578   -.133E+03   .2125E+01   .2248E-03   .6920E-02  -.2160E+01     .7047
   .2541   -.151E+03   .2180E+01   .1977E-03   .5159E-02  -.2287E+01     .6879
   .2503   -.172E+03   .2234E+01   .1733E-03   .3832E-02  -.2417E+01     .6712
   .2466   -.194E+03   .2289E+01   .1515E-03   .2838E-02  -.2547E+01     .6546
   .2429   -.221E+03   .2343E+01   .1321E-03   .2097E-02  -.2678E+01     .6381
   .2393   -.250E+03   .2398E+01   .1149E-03   .1545E-02  -.2811E+01     .6219
end
 
   .3522   -.100E-02  -.3000E+01   .2635E-03   .1577E+02   .1198E+01    1.0000
   .3522   -.113E-02  -.2945E+01   .2697E-03   .1565E+02   .1194E+01    1.0000
   .3522   -.129E-02  -.2891E+01   .2761E-03   .1552E+02   .1191E+01    1.0000
   .3522   -.146E-02  -.2836E+01   .2826E-03   .1539E+02   .1187E+01    1.0000
   .3522   -.165E-02  -.2782E+01   .2893E-03   .1526E+02   .1184E+01    1.0000
   .3522   -.187E-02  -.2727E+01   .2961E-03   .1513E+02   .1180E+01    1.0000
   .3522   -.212E-02  -.2673E+01   .3031E-03   .1499E+02   .1176E+01    1.0000
   .3522   -.241E-02  -.2618E+01   .3102E-03   .1485E+02   .1172E+01    1.0000
   .3522   -.273E-02  -.2564E+01   .3176E-03   .1471E+02   .1168E+01    1.0000
   .3522   -.310E-02  -.2509E+01   .3251E-03   .1457E+02   .1163E+01    1.0000
   .3522   -.351E-02  -.2455E+01   .3327E-03   .1442E+02   .1159E+01    1.0000
   .3522   -.398E-02  -.2400E+01   .3406E-03   .1427E+02   .1154E+01    1.0000
   .3522   -.451E-02  -.2346E+01   .3486E-03   .1412E+02   .1150E+01    1.0000
   .3522   -.511E-02  -.2291E+01   .3569E-03   .1396E+02   .1145E+01    1.0000
   .3522   -.580E-02  -.2237E+01   .3653E-03   .1381E+02   .1140E+01    1.0000
   .3522   -.657E-02  -.2182E+01   .3739E-03   .1365E+02   .1135E+01    1.0000
   .3522   -.745E-02  -.2128E+01   .3827E-03   .1348E+02   .1130E+01    1.0000
   .3522   -.845E-02  -.2073E+01   .3918E-03   .1332E+02   .1124E+01    1.0000
   .3522   -.958E-02  -.2019E+01   .4010E-03   .1315E+02   .1119E+01    1.0000
   .3522   -.109E-01  -.1964E+01   .4105E-03   .1298E+02   .1113E+01    1.0000
