 ************************************************************************
 *                                                                      *
 *                                                                      *
 *        Tension Permeameter - Riverside data, 10cm radius, 1 run      *
 *        Cumulative infiltration                                       *
 *                                                                      *
 ************************************************************************


 PROGRAM PARAMETERS
 ==================
 MAX. ITERATIONS.....................(MIT)............... 50
 NO. OF OBSERVATIONS.................(NOBb).............1017


 SOIL PROPERTIES
 =========================
 RESIDUAL MOISTURE CONTENT...........(WCR)............      .000
 SATURATED MOISTURE CONTENT..........(WCS)............      .330
 FIRST COEFFICIENT...................(ALPHA)..........      .045
 SECOND COEFFICIENT..................(N)..............     2.000
 SATURATED CONDUCTIVITY..............(CONDS).......... .1000E-03
 PORE CONECTIVITY FACTOR.............(L)..............     -.500


 Observed QUANTITY 
 ==================
    OBS     HRS     QUANTITY     TYPE  POSITION   WEIGHT
   388    388.000    -22.129       0     3       .000097
   389    389.000    -23.376       0     3       .000097
   390    390.000    -21.506       0     3       .000097
   391    391.000    -22.909       0     3       .000097
   392    392.000    -21.038       0     3       .000097
   393    393.000    -22.285       0     3       .000097
   394    394.000    -22.129       0     3       .000097
   395    395.000    -22.597       0     3       .000097
   396    396.000    -21.662       0     3       .000097
   397    397.000    -23.064       0     3       .000097
   398    398.000    -21.350       0     3       .000097
   399    399.000    -21.818       0     3       .000097
   400    400.000    -22.285       0     3       .000097
   401    401.000    -22.129       0     3       .000097
   402    402.000    -21.973       0     3       .000097
   403    403.000    -21.194       0     3       .000097
   404    404.000    -24.311       0     3       .000097
   405    405.000    -21.506       0     3       .000097
   406    406.000    -24.155       0     3       .000097
   407    407.000    -24.311       0     3       .000097
   408    408.000    -21.973       0     3       .000097
   409    409.000    -22.909       0     3       .000097
   410    410.000    -23.688       0     3       .000097
   411    411.000    -24.623       0     3       .000097
   412    412.000    -22.129       0     3       .000097
   413    413.000    -23.376       0     3       .000097
   414    414.000    -23.220       0     3       .000097
   415    415.000    -23.688       0     3       .000097
   416    416.000    -23.220       0     3       .000097
   417    417.000    -24.155       0     3       .000097
   418    418.000    -23.376       0     3       .000097
   419    419.000    -25.090       0     3       .000097
   420    420.000    -25.090       0     3       .000097
   421    421.000    -23.220       0     3       .000097
   422    422.000    -23.064       0     3       .000097
   423    423.000    -24.934       0     3       .000097
   424    424.000    -24.467       0     3       .000097
   425    425.000    -23.220       0     3       .000097
   426    426.000    -23.220       0     3       .000097
   427    427.000    -25.870       0     3       .000097
   428    428.000    -23.688       0     3       .000097
   429    429.000    -24.779       0     3       .000097
   430    430.000    -23.844       0     3       .000097
   431    431.000    -25.090       0     3       .000097
   432    432.000    -25.246       0     3       .000097
   433    433.000    -26.649       0     3       .000097
   434    434.000    -27.896       0     3       .000097
   435    435.000    -24.467       0     3       .000097
   436    436.000    -27.116       0     3       .000097
   437    437.000    -26.337       0     3       .000097
   438    438.000    -24.779       0     3       .000097
   439    439.000    -26.649       0     3       .000097
   440    440.000    -26.025       0     3       .000097
   441    441.000    -25.246       0     3       .000097
   442    442.000    -24.934       0     3       .000097
   443    443.000    -24.467       0     3       .000097
   444    444.000    -26.181       0     3       .000097
   445    445.000    -24.934       0     3       .000097
   446    446.000    -26.025       0     3       .000097
   447    447.000    -25.090       0     3       .000097
   448    448.000    -26.025       0     3       .000097
   449    449.000    -26.805       0     3       .000097
   450    450.000    -25.714       0     3       .000097
   451    451.000    -27.584       0     3       .000097
   452    452.000    -11.376       0     3       .000097
   453    453.000    -26.493       0     3       .000097
   454    454.000    -25.402       0     3       .000097
   455    455.000    -26.805       0     3       .000097
   456    456.000    -26.493       0     3       .000097
   457    457.000    -29.454       0     3       .000097
   458    458.000    -29.766       0     3       .000097
   459    459.000    -26.337       0     3       .000097
   460    460.000    -26.960       0     3       .000097
   461    461.000    -26.649       0     3       .000097
   462    462.000    -26.025       0     3       .000097
   463    463.000    -26.025       0     3       .000097
   464    464.000    -26.493       0     3       .000097
   465    465.000    -26.025       0     3       .000097
   466    466.000    -26.337       0     3       .000097
   467    467.000    -27.896       0     3       .000097
   468    468.000    -26.805       0     3       .000097
   469    469.000    -26.805       0     3       .000097
   470    470.000    -26.337       0     3       .000097
   471    471.000    -27.896       0     3       .000097
   472    472.000    -27.272       0     3       .000097
   473    473.000    -27.584       0     3       .000097
   474    474.000    -25.402       0     3       .000097
   475    475.000    -28.675       0     3       .000097
   476    485.000    -30.389       0     3       .000097
   477    495.000    -25.246       0     3       .000097
   478    505.000    -26.649       0     3       .000097
   479    515.000    -29.454       0     3       .000097
   480    525.000    -28.519       0     3       .000097
   481    535.000    -31.168       0     3       .000097
   482    545.000    -29.766       0     3       .000097
   483    555.000    -30.389       0     3       .000097
   484    565.000    -32.103       0     3       .000097
   485    575.000    -32.882       0     3       .000097
   486    585.000    -33.817       0     3       .000097
   487    595.000    -34.597       0     3       .000097
   488    605.000    -33.350       0     3       .000097
   489    615.000    -35.220       0     3       .000097
   490    625.000    -34.441       0     3       .000097
   491    635.000    -36.467       0     3       .000097
   492    645.000    -36.778       0     3       .000097
   493    655.000    -37.869       0     3       .000097
   494    685.000    -39.272       0     3       .000097
   495    715.000    -40.363       0     3       .000097
   496    745.000    -46.908       0     3       .000097
   497    775.000    -43.324       0     3       .000097
   498    805.000    -45.194       0     3       .000097
   499    835.000    -46.596       0     3       .000097
   500    865.000    -49.402       0     3       .000097
   501    895.000    -46.908       0     3       .000097
   502    925.000    -48.466       0     3       .000097
   503    955.000    -49.713       0     3       .000097
   504    985.000    -50.181       0     3       .000097
   505   1015.000    -55.323       0     3       .000097
