


                       Node(***)                     Node(***)                     Node(***)

     time        hNew    theta    Temp         hNew    theta    Temp         hNew    theta    Temp    
     13.123   -100.000   .2426   20.000     -100.000   .2426   20.000      -98.320   .2438   20.000
     13.563   -100.000   .2426   20.000     -100.000   .2426   20.000      -98.000   .2440   20.000
     14.003   -100.000   .2426   20.000     -100.000   .2426   20.000      -97.655   .2443   20.000
     14.443   -100.000   .2426   20.000     -100.000   .2426   20.000      -97.283   .2446   20.000
     14.883   -100.000   .2426   20.000     -100.000   .2426   20.000      -96.886   .2449   20.000
     15.323   -100.000   .2426   20.000     -100.000   .2426   20.000      -96.464   .2452   20.000
     15.762   -100.000   .2426   20.000     -100.000   .2426   20.000      -96.020   .2455   20.000
     16.202   -100.000   .2426   20.000     -100.000   .2426   20.000      -95.552   .2458   20.000
     16.789   -100.000   .2426   20.000     -100.000   .2426   20.000      -94.966   .2464   20.000
     17.375   -100.000   .2426   20.000     -100.000   .2426   20.000      -94.326   .2470   20.000
     17.962   -100.000   .2426   20.000     -100.000   .2426   20.000      -93.652   .2477   20.000
     18.548   -100.000   .2426   20.000     -100.000   .2426   20.000      -92.954   .2484   20.000
     19.135   -100.000   .2426   20.000     -100.000   .2426   20.000      -92.250   .2491   20.000
     19.721   -100.000   .2426   20.000     -100.000   .2426   20.000      -91.543   .2498   20.000
     20.308   -100.000   .2426   20.000     -100.000   .2426   20.000      -90.839   .2505   20.000
     20.894   -100.000   .2426   20.000     -100.000   .2426   20.000      -90.137   .2512   20.000
     21.716   -100.000   .2426   20.000     -100.000   .2426   20.000      -89.172   .2522   20.000
     22.537   -100.000   .2426   20.000     -100.000   .2426   20.000      -88.225   .2531   20.000
     23.358   -100.000   .2426   20.000     -100.000   .2426   20.000      -87.305   .2540   20.000
     24.179   -100.000   .2426   20.000     -100.000   .2426   20.000      -86.415   .2549   20.000
     25.000   -100.000   .2426   20.000     -100.000   .2426   20.000      -85.552   .2558   20.000
     25.758   -100.000   .2426   20.000     -100.000   .2426   20.000      -84.780   .2565   20.000
     26.515   -100.000   .2426   20.000     -100.000   .2426   20.000      -84.032   .2573   20.000
     27.273   -100.000   .2426   20.000     -100.000   .2426   20.000      -83.308   .2580   20.000
     28.030   -100.000   .2426   20.000     -100.000   .2426   20.000      -82.607   .2587   20.000
     28.788   -100.000   .2426   20.000     -100.000   .2426   20.000      -81.931   .2594   20.000
     29.752   -100.000   .2426   20.000     -100.000   .2426   20.000      -81.108   .2602   20.000
     30.716   -100.000   .2426   20.000     -100.000   .2426   20.000      -80.319   .2610   20.000
     31.680   -100.000   .2426   20.000     -100.000   .2426   20.000      -79.564   .2617   20.000
     32.645   -100.000   .2426   20.000     -100.000   .2426   20.000      -78.839   .2624   20.000
     33.609   -100.000   .2426   20.000     -100.000   .2426   20.000      -78.141   .2631   20.000
     34.573   -100.000   .2426   20.000     -100.000   .2426   20.000      -77.477   .2638   20.000
     35.537   -100.000   .2426   20.000     -100.000   .2426   20.000      -76.842   .2644   20.000
     36.501   -100.000   .2426   20.000     -100.000   .2426   20.000      -76.230   .2650   20.000
     37.466   -100.000   .2426   20.000     -100.000   .2426   20.000      -75.641   .2656   20.000
     38.430   -100.000   .2426   20.000     -100.000   .2426   20.000      -75.114   .2663   20.000
     39.394   -100.000   .2426   20.000     -100.000   .2426   20.000      -74.580   .2670   20.000
     40.358   -100.000   .2426   20.000     -100.000   .2426   20.000      -74.058   .2677   20.000
     41.322   -100.000   .2426   20.000     -100.000   .2426   20.000      -73.563   .2683   20.000
     42.562   -100.000   .2426   20.000     -100.000   .2426   20.000      -72.959   .2691   20.000
     43.802   -100.000   .2426   20.000     -100.000   .2426   20.000      -72.381   .2699   20.000
     45.041   -100.000   .2426   20.000     -100.000   .2426   20.000      -71.835   .2706   20.000
     46.281   -100.000   .2426   20.000     -100.000   .2426   20.000      -71.322   .2713   20.000
     47.521   -100.000   .2426   20.000     -100.000   .2426   20.000      -70.830   .2719   20.000
     48.760   -100.000   .2426   20.000     -100.000   .2426   20.000      -70.367   .2725   20.000
     50.000   -100.000   .2426   20.000     -100.000   .2426   20.000      -69.923   .2731   20.000
     51.250   -100.000   .2426   20.000     -100.000   .2426   20.000      -69.489   .2737   20.000
     52.946   -100.000   .2426   20.000     -100.000   .2426   20.000      -68.932   .2744   20.000
     54.643   -100.000   .2426   20.000     -100.000   .2426   20.000      -68.403   .2751   20.000
     56.339   -100.000   .2426   20.000     -100.000   .2426   20.000      -67.900   .2758   20.000
     58.036   -100.000   .2426   20.000     -100.000   .2426   20.000      -67.423   .2764   20.000
     59.732   -100.000   .2426   20.000     -100.000   .2426   20.000      -66.968   .2770   20.000
     61.429   -100.000   .2426   20.000     -100.000   .2426   20.000      -66.533   .2775   20.000
     63.125   -100.000   .2426   20.000     -100.000   .2426   20.000      -66.114   .2781   20.000
     64.821   -100.000   .2426   20.000     -100.000   .2426   20.000      -65.709   .2786   20.000
     66.518   -100.000   .2426   20.000     -100.000   .2426   20.000      -65.318   .2791   20.000
     68.214   -100.000   .2426   20.000     -100.000   .2426   20.000      -64.941   .2796   20.000
     69.911   -100.000   .2426   20.000     -100.000   .2426   20.000      -64.578   .2801   20.000
     71.607   -100.000   .2426   20.000     -100.000   .2426   20.000      -64.230   .2806   20.000
     73.304   -100.000   .2426   20.000     -100.000   .2426   20.000      -63.895   .2810   20.000
     75.000   -100.000   .2426   20.000     -100.000   .2426   20.000      -63.568   .2814   20.000
     77.083   -100.000   .2426   20.000     -100.000   .2426   20.000      -63.179   .2819   20.000
     79.167   -100.000   .2426   20.000     -100.000   .2426   20.000      -62.804   .2824   20.000
     82.143   -100.000   .2426   20.000     -100.000   .2426   20.000      -62.287   .2831   20.000
     85.119   -100.000   .2426   20.000      -99.999   .2426   20.000      -61.794   .2838   20.000
     88.095   -100.000   .2426   20.000      -99.999   .2426   20.000      -61.328   .2844   20.000
     91.071   -100.000   .2426   20.000      -99.999   .2426   20.000      -60.885   .2849   20.000
     94.048   -100.000   .2426   20.000      -99.999   .2426   20.000      -60.455   .2855   20.000
     97.024   -100.000   .2426   20.000      -99.998   .2426   20.000      -60.034   .2861   20.000
    100.000   -100.000   .2426   20.000      -99.997   .2426   20.000      -59.634   .2867   20.000
    104.545   -100.000   .2426   20.000      -99.996   .2426   20.000      -59.057   .2877   20.000
    109.091   -100.000   .2426   20.000      -99.994   .2426   20.000      -58.515   .2886   20.000
    113.636   -100.000   .2426   20.000      -99.992   .2426   20.000      -58.000   .2894   20.000
    118.182   -100.000   .2426   20.000      -99.989   .2426   20.000      -57.510   .2903   20.000
    122.727   -100.000   .2426   20.000      -99.985   .2426   20.000      -57.047   .2910   20.000
    127.273   -100.000   .2426   20.000      -99.980   .2426   20.000      -56.602   .2918   20.000
    131.818   -100.000   .2426   20.000      -99.974   .2426   20.000      -56.169   .2925   20.000
    137.879   -100.000   .2426   20.000      -99.964   .2426   20.000      -55.615   .2935   20.000
    143.939   -100.000   .2426   20.000      -99.951   .2426   20.000      -55.092   .2943   20.000
    150.000   -100.000   .2426   20.000      -99.935   .2426   20.000      -54.593   .2952   20.000
    156.250   -100.000   .2426   20.000      -99.915   .2426   20.000      -54.099   .2960   20.000
    162.500   -100.000   .2426   20.000      -99.892   .2427   20.000      -53.619   .2968   20.000
    168.750   -100.000   .2426   20.000      -99.863   .2427   20.000      -53.144   .2976   20.000
    176.563   -100.000   .2426   20.000      -99.821   .2427   20.000      -52.568   .2986   20.000
    184.375   -100.000   .2426   20.000      -99.770   .2427   20.000      -52.016   .2995   20.000
    192.188   -100.000   .2426   20.000      -99.709   .2428   20.000      -51.471   .3004   20.000
    200.000   -100.000   .2426   20.000      -99.639   .2428   20.000      -50.926   .3014   20.000
