

  TLevel   Time         dt      Iter  ItCum
   253  .15000E+04  .50000E+02    3    958
   254  .15625E+04  .62500E+02    4    962
   255  .16250E+04  .62500E+02    4    966
   256  .16875E+04  .62500E+02    3    969
   257  .17500E+04  .62500E+02    3    972
   258  .18333E+04  .83333E+02    4    976
   259  .19167E+04  .83333E+02    3    979
   260  .20000E+04  .83333E+02    3    982
   261  .21250E+04  .12500E+03    5    987
   262  .22500E+04  .12500E+03    5    992
   263  .23750E+04  .12500E+03    4    996
   264  .25000E+04  .12500E+03    4   1000
   265  .26000E+04  .10000E+03    4   1004
   266  .27000E+04  .10000E+03    4   1008
   267  .28000E+04  .10000E+03    4   1012
   268  .29000E+04  .10000E+03    4   1016
   269  .30000E+04  .10000E+03    4   1020
   270  .31111E+04  .11111E+03    4   1024
   271  .32222E+04  .11111E+03    4   1028
   272  .33333E+04  .11111E+03    4   1032
   273  .34444E+04  .11111E+03    3   1035
   274  .35833E+04  .13889E+03    4   1039
   275  .37222E+04  .13889E+03    4   1043
   276  .38611E+04  .13889E+03    4   1047
   277  .40000E+04  .13889E+03    4   1051
   278  .41429E+04  .14286E+03    4   1055
   279  .42857E+04  .14286E+03    4   1059
   280  .44286E+04  .14286E+03    3   1062
   281  .46190E+04  .19048E+03    4   1066
   282  .48095E+04  .19048E+03    4   1070
   283  .50000E+04  .19048E+03    4   1074
   284  .52000E+04  .20000E+03    4   1078
   285  .54000E+04  .20000E+03    4   1082
   286  .56000E+04  .20000E+03    4   1086
   287  .58000E+04  .20000E+03    4   1090
   288  .60000E+04  .20000E+03    4   1094
   289  .61875E+04  .18750E+03    4   1098
   290  .63750E+04  .18750E+03    4   1102
   291  .65625E+04  .18750E+03    4   1106
   292  .67500E+04  .18750E+03    4   1110
   293  .69375E+04  .18750E+03    4   1114
   294  .71250E+04  .18750E+03    4   1118
   295  .73125E+04  .18750E+03    4   1122
   296  .75000E+04  .18750E+03    4   1126
end
 
 Real time [sec]     836.000000000000000
