 Welcome to HYDRUS-2D                                                    
 
 Program HYDRUS2
 Date:  23. 2.    Time:  13:52:18
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = m    , T = days , M = mmol 


 Time:     10.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

   16   37    1.9   -4.3   -2   .000E+00   .000E+00        -.9   .248     20.00  .000E+00
   17   38    1.9   -4.1   -2   .000E+00   .000E+00        -.9   .248     20.00 -.201E-27
   18   39    1.9   -4.0   -2   .000E+00   .000E+00        -.9   .249     20.00 -.185E-26
   19   40    1.8   -3.9   -2   .000E+00   .000E+00        -.9   .250     20.00  .270E-24
   20   41    1.8   -3.8   -2   .000E+00   .000E+00        -.9   .251     20.00  .565E-23
   21   42    1.8   -3.7   -2   .000E+00   .000E+00        -.9   .252     20.00  .423E-21
   22   43    1.7   -3.6   -2   .000E+00   .000E+00        -.9   .253     20.00  .612E-19
   23   44    1.7   -3.5   -2   .000E+00   .000E+00        -.9   .254     20.00  .680E-17
   24   45    1.6   -3.3   -2   .000E+00   .000E+00        -.9   .256     20.00  .681E-15
   25   46    1.6   -3.2   -2   .000E+00   .000E+00        -.8   .257     20.00  .479E-13
   26   47    1.5   -3.1   -2   .000E+00   .000E+00        -.8   .258     20.00  .330E-11
   27   48    1.4   -3.0   -2   .000E+00   .000E+00        -.8   .260     20.00  .498E-09
   28   49    1.4   -2.9   -2   .000E+00   .000E+00        -.8   .262     20.00  .445E-07
   29   50    1.3   -2.9   -2   .000E+00   .000E+00        -.8   .264     20.00  .394E-05
   30   51    1.2   -2.8   -2   .000E+00   .000E+00        -.7   .273     20.00  .139E-03
   31   52    1.1   -2.7   -2   .000E+00   .000E+00        -.5   .311     20.00  .170E-02
   32   53    1.0   -2.7   -2   .000E+00   .000E+00        -.2   .378     20.00  .527E-02
   33   54     .9   -2.6   -2   .000E+00   .000E+00        -.1   .418     20.00  .819E-02
   34   55     .8   -2.5   -2   .000E+00   .000E+00         .0   .429     20.00  .104E-01
   35   56     .6   -2.5    2  -.173E-04   .139E-03         .0   .430     20.00  .127E-01
   36   57     .5   -2.5    2  -.164E-02   .131E-01         .0   .430     20.00  .154E-01
   37   58     .4   -2.4    2  -.157E-02   .125E-01         .0   .430     20.00  .168E-01
   38   59     .3   -2.4    2  -.178E-02   .142E-01         .0   .430     20.00  .183E-01
   39   60     .2   -2.4    2  -.207E-02   .165E-01         .0   .430     20.00  .193E-01
   40   61     .0   -2.4    2  -.198E-02   .158E-01         .0   .430     20.00  .198E-01
   41   62    -.1   -2.4    2  -.193E-02   .155E-01         .0   .430     20.00  .196E-01
   42   63    -.2   -2.4    2  -.192E-02   .156E-01         .0   .430     20.00  .193E-01
   43   64    -.3   -2.4    2  -.167E-02   .136E-01         .0   .430     20.00  .179E-01
   44   65    -.5   -2.4    2  -.134E-02   .110E-01         .0   .430     20.00  .162E-01
   45   66    -.6   -2.5    2  -.118E-02   .975E-02         .0   .430     20.00  .146E-01
   46   67    -.7   -2.5   -2   .000E+00   .000E+00         .0   .430     20.00  .124E-01
   47   68    -.8   -2.6   -2   .000E+00   .000E+00         .0   .427     20.00  .990E-02
   48   69    -.9   -2.6   -2   .000E+00   .000E+00        -.1   .411     20.00  .752E-02
   49   70   -1.0   -2.7   -2   .000E+00   .000E+00        -.3   .356     20.00  .396E-02
   50   71   -1.1   -2.7   -2   .000E+00   .000E+00        -.6   .293     20.00  .876E-03
   51   72   -1.2   -2.8   -2   .000E+00   .000E+00        -.7   .270     20.00  .572E-04
   52   73   -1.3   -2.9   -2   .000E+00   .000E+00        -.8   .264     20.00  .325E-05
   53   74   -1.4   -3.0   -2   .000E+00   .000E+00        -.8   .262     20.00  .180E-06
   54   75   -1.5   -3.1   -2   .000E+00   .000E+00        -.8   .261     20.00  .242E-08
   55   76   -1.6   -3.2   -2   .000E+00   .000E+00        -.8   .259     20.00  .181E-10
   56   77   -1.6   -3.3   -2   .000E+00   .000E+00        -.8   .258     20.00  .429E-13
