 Flow Through the Dike with a Seepage Face                               
 
 Program HYDRUS2
 Date:   6. 4.    Time:   7:27:33
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mmol 


 Time:      2.5000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

   21   58   44.7   38.7   -2   .000E+00   .000E+00      -11.6   .402     20.00  .456E-06
   22   59   41.0   41.3   -2   .000E+00   .000E+00      -13.4   .396     20.00  .726E-06
   23   60   37.2   43.9   -2   .000E+00   .000E+00      -15.4   .390     20.00  .105E-05
   24   61   33.4   46.6   -2   .000E+00   .000E+00      -17.6   .383     20.00  .169E-05
   25   62   29.5   49.3   -2   .000E+00   .000E+00      -20.2   .375     20.00  .288E-05
   26   63   25.5   52.1   -2   .000E+00   .000E+00      -23.5   .365     20.00  .520E-05
   27   64   21.5   55.0   -2   .000E+00   .000E+00      -27.8   .353     20.00  .116E-04
   28   65   17.3   57.9   -4   .000E+00   .000E+00      -32.4   .341     20.00  .224E-04
   29   66   13.1   60.8   -4   .000E+00   .000E+00      -37.4   .328     20.00  .420E-04
   30   67    8.8   63.8   -4   .000E+00   .000E+00      -43.1   .316     20.00  .675E-04
   31   68    4.4   66.9   -4   .000E+00   .000E+00      -49.1   .304     20.00  .149E-03
   32   69     .0   70.0   -4   .000E+00   .000E+00      -53.3   .297     20.00  .233E-03
   33   70   -5.0   70.0   -4   .000E+00   .000E+00      -51.9   .300     20.00  .104E-02
   34   71  -10.0   70.0   -4   .000E+00   .000E+00      -48.3   .306     20.00  .364E-02
   35   72  -15.0   70.0   -4   .000E+00   .000E+00      -44.5   .313     20.00  .106E-01
   36   73  -20.0   70.0   -4   .000E+00   .000E+00      -41.2   .320     20.00  .265E-01
   37   74  -24.0   66.5   -4   .000E+00   .000E+00      -33.3   .338     20.00  .797E-01
   38   75  -27.8   63.2   -4   .000E+00   .000E+00      -25.4   .359     20.00  .200E+00
   39   76  -31.6   59.8   -4   .000E+00   .000E+00      -18.4   .380     20.00  .352E+00
   40   77  -35.3   56.6   -4   .000E+00   .000E+00      -12.3   .400     20.00  .507E+00
   41   78  -39.0   53.4   -4   .000E+00   .000E+00       -6.5   .418     20.00  .636E+00
   42   79  -42.6   50.3    1   .641E+02  -.136E+02        -.3   .430     20.00  .840E+00
   43   80  -46.1   47.2    1   .464E+02  -.101E+02        2.8   .430     20.00  .845E+00
   44   81  -49.5   44.2    1   .354E+02  -.789E+01        5.8   .430     20.00  .839E+00
   45   82  -52.8   41.3    1   .290E+02  -.660E+01        8.7   .430     20.00  .821E+00
   46   83  -56.1   38.4    1   .248E+02  -.578E+01       11.6   .430     20.00  .799E+00
   47   84  -59.3   35.6    1   .213E+02  -.510E+01       14.4   .430     20.00  .774E+00
   48   85  -62.4   32.9    1   .183E+02  -.449E+01       17.1   .430     20.00  .748E+00
   49   86  -65.4   30.2    1   .159E+02  -.398E+01       19.8   .430     20.00  .720E+00
   50   87  -68.4   27.7    1   .137E+02  -.352E+01       22.3   .430     20.00  .690E+00
   51   88  -71.3   25.1    1   .118E+02  -.312E+01       24.9   .430     20.00  .660E+00
   52   89  -74.1   22.7    1   .101E+02  -.275E+01       27.3   .430     20.00  .626E+00
   53   90  -76.8   20.3    1   .859E+01  -.240E+01       29.7   .430     20.00  .590E+00
   54   91  -79.5   17.9    1   .722E+01  -.207E+01       32.1   .430     20.00  .553E+00
   55   92  -82.1   15.7    1   .599E+01  -.177E+01       34.3   .430     20.00  .512E+00
   56   93  -84.6   13.5    1   .480E+01  -.146E+01       36.5   .430     20.00  .466E+00
   57   94  -87.0   11.4    1   .383E+01  -.120E+01       38.6   .430     20.00  .419E+00
   58   95  -89.4    9.3    1   .298E+01  -.967E+00       40.7   .430     20.00  .369E+00
   59   96  -91.6    7.3    1   .208E+01  -.699E+00       42.7   .430     20.00  .317E+00
   60   97  -93.8    5.4    1   .141E+01  -.491E+00       44.6   .430     20.00  .271E+00
   61   98  -96.0    3.5    1   .839E+00  -.302E+00       46.5   .430     20.00  .232E+00
   62   99  -98.0    1.7    1   .337E+00  -.126E+00       48.3   .430     20.00  .203E+00


 Time:      7.5000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1    1 -100.0     .0    1   .264E-01  -.201E-01       50.0   .430     20.00  .272E+00
    2   39  100.0     .0    1  -.849E-01   .626E-01       10.0   .430     20.00  .308E-07
    3   40   97.8    1.6    1  -.166E+01   .601E+00        8.4   .430     20.00  .561E-07
    4   41   95.5    3.2    1  -.531E+01   .186E+01        6.8   .430     20.00  .139E-06
    5   42   93.1    4.8    1  -.108E+02   .365E+01        5.2   .430     20.00  .318E-06
    6   43   90.7    6.5    1  -.182E+02   .598E+01        3.5   .430     20.00  .671E-06
    7   44   88.1    8.3    1  -.283E+02   .904E+01        1.7   .430     20.00  .146E-05
    8   45   85.5   10.1    1  -.631E+02   .195E+02        -.1   .430     20.00  .277E-05
    9   46   82.8   12.0    2  -.290E+02   .873E+01         .0   .430     20.00  .395E-05
   10   47   80.1   13.9    2  -.193E+02   .566E+01         .0   .430     20.00  .475E-05
   11   48   77.2   15.9    2  -.607E+01   .173E+01         .0   .430     20.00  .539E-05
   12   49   74.3   18.0   -2   .000E+00   .000E+00        -.3   .430     20.00  .645E-05
   13   50   71.3   20.1   -2   .000E+00   .000E+00       -1.0   .429     20.00  .791E-05
   14   51   68.3   22.2   -2   .000E+00   .000E+00       -1.9   .428     20.00  .101E-04
   15   52   65.1   24.4   -2   .000E+00   .000E+00       -3.0   .426     20.00  .126E-04
   16   53   61.9   26.7   -2   .000E+00   .000E+00       -4.3   .423     20.00  .137E-04
   17   54   58.6   29.0   -2   .000E+00   .000E+00       -5.5   .420     20.00  .166E-04
   18   55   55.2   31.3   -2   .000E+00   .000E+00       -6.9   .417     20.00  .235E-04
   19   56   51.8   33.7   -2   .000E+00   .000E+00       -8.4   .412     20.00  .228E-04
   20   57   48.3   36.2   -2   .000E+00   .000E+00       -9.9   .408     20.00  .298E-04
   21   58   44.7   38.7   -2   .000E+00   .000E+00      -11.6   .402     20.00  .384E-04
   22   59   41.0   41.3   -2   .000E+00   .000E+00      -13.4   .396     20.00  .519E-04
   23   60   37.2   43.9   -2   .000E+00   .000E+00      -15.4   .390     20.00  .648E-04
   24   61   33.4   46.6   -2   .000E+00   .000E+00      -17.6   .383     20.00  .931E-04
   25   62   29.5   49.3   -2   .000E+00   .000E+00      -20.2   .375     20.00  .136E-03
   26   63   25.5   52.1   -2   .000E+00   .000E+00      -23.5   .365     20.00  .216E-03
   27   64   21.5   55.0   -2   .000E+00   .000E+00      -27.7   .353     20.00  .403E-03
   28   65   17.3   57.9   -4   .000E+00   .000E+00      -32.4   .341     20.00  .654E-03
   29   66   13.1   60.8   -4   .000E+00   .000E+00      -37.3   .328     20.00  .103E-02
   30   67    8.8   63.8   -4   .000E+00   .000E+00      -43.0   .316     20.00  .145E-02
   31   68    4.4   66.9   -4   .000E+00   .000E+00      -49.0   .305     20.00  .226E-02
   32   69     .0   70.0   -4   .000E+00   .000E+00      -53.2   .297     20.00  .323E-02
   33   70   -5.0   70.0   -4   .000E+00   .000E+00      -51.8   .300     20.00  .926E-02
   34   71  -10.0   70.0   -4   .000E+00   .000E+00      -48.2   .306     20.00  .240E-01
