 Flow under a dam                                                        
 
 Program HYDRUS2
 Date:  18. 2.    Time:  11:49:50
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = m    , T = days , M = mmol 


 Time:     25.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

   21  127  -26.7     .0    1   .245E+00  -.101E+00       50.0   .430     20.00  .701E-02
   22  128  -29.2     .0    1   .250E+00  -.972E-01       50.0   .430     20.00  .276E-01
   23  129  -31.8     .0    1   .256E+00  -.945E-01       50.0   .430     20.00  .122E+00
   24  130  -34.6     .0    1   .259E+00  -.909E-01       50.0   .430     20.00  .825E+00
   25  131  -37.5     .0    1   .263E+00  -.880E-01       50.0   .430     20.00  .923E+00
   26  132  -40.6     .0    1   .265E+00  -.847E-01       50.0   .430     20.00  .941E+00
   27  133  -43.7     .0    1   .266E+00  -.815E-01       50.0   .430     20.00  .940E+00
   28  134  -47.1     .0    1   .267E+00  -.785E-01       50.0   .430     20.00  .935E+00
   29  135  -50.6     .0    1   .267E+00  -.753E-01       50.0   .430     20.00  .927E+00
   30  136  -54.2     .0    1   .268E+00  -.729E-01       50.0   .430     20.00  .832E+00
   31  137  -57.9     .0    1   .271E+00  -.708E-01       50.0   .430     20.00  .909E-01
   32  138  -61.8     .0    1   .274E+00  -.692E-01       50.0   .430     20.00  .888E-02
   33  139  -65.8     .0    1   .279E+00  -.682E-01       50.0   .430     20.00 -.985E-03


 Time:    200.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1    1  -70.0     .0    1   .141E+00  -.678E-01       50.0   .430     20.00 -.250E-03
    2   52   80.0     .0    2  -.111E+00   .568E-01         .0   .430     20.00  .716E-12
    3   53   76.1     .0    2  -.220E+00   .572E-01         .0   .430     20.00 -.426E-11
    4   54   72.3     .0    2  -.217E+00   .585E-01         .0   .430     20.00  .182E-10
    5   55   68.7     .0    2  -.216E+00   .607E-01         .0   .430     20.00  .161E-09
    6   56   65.2     .0    2  -.218E+00   .637E-01         .0   .430     20.00  .210E-08
    7   57   61.8     .0    2  -.223E+00   .678E-01         .0   .430     20.00  .650E-08
    8   58   58.6     .0    2  -.229E+00   .727E-01         .0   .430     20.00  .157E-06
    9   59   55.6     .0    2  -.237E+00   .790E-01         .0   .430     20.00  .723E-06
   10   60   52.6     .0    2  -.249E+00   .870E-01         .0   .430     20.00  .451E-05
   11   61   49.8     .0    2  -.263E+00   .966E-01         .0   .430     20.00  .196E-04
   12   62   47.2     .0    2  -.283E+00   .110E+00         .0   .430     20.00  .588E-04
   13   63   44.7     .0    2  -.309E+00   .126E+00         .0   .430     20.00  .131E-03
   14   64   42.3     .0    2  -.345E+00   .150E+00         .0   .430     20.00  .212E-03
   15   65   40.1     .0    2  -.390E+00   .180E+00         .0   .430     20.00  .240E-03
   16   66   38.0     .0    2  -.430E+00   .212E+00         .0   .430     20.00  .201E-03
   17   67   36.0     .0    2  -.222E+00   .227E+00         .0   .430     20.00  .171E-03
   18  124  -20.0     .0    1   .117E+00  -.112E+00       50.0   .430     20.00  .784E-03
   19  125  -22.1     .0    1   .236E+00  -.109E+00       50.0   .430     20.00  .115E-02
   20  126  -24.3     .0    1   .240E+00  -.105E+00       50.0   .430     20.00  .218E-02
   21  127  -26.7     .0    1   .245E+00  -.101E+00       50.0   .430     20.00  .468E-02
   22  128  -29.2     .0    1   .250E+00  -.972E-01       50.0   .430     20.00  .901E-02
   23  129  -31.8     .0    1   .256E+00  -.945E-01       50.0   .430     20.00  .159E-01
   24  130  -34.6     .0    1   .259E+00  -.909E-01       50.0   .430     20.00  .255E-01
   25  131  -37.5     .0    1   .263E+00  -.880E-01       50.0   .430     20.00  .346E-01
   26  132  -40.6     .0    1   .265E+00  -.847E-01       50.0   .430     20.00  .414E-01
   27  133  -43.7     .0    1   .266E+00  -.815E-01       50.0   .430     20.00  .462E-01
   28  134  -47.1     .0    1   .267E+00  -.785E-01       50.0   .430     20.00  .486E-01
   29  135  -50.6     .0    1   .267E+00  -.753E-01       50.0   .430     20.00  .449E-01
   30  136  -54.2     .0    1   .268E+00  -.729E-01       50.0   .430     20.00  .352E-01
   31  137  -57.9     .0    1   .271E+00  -.708E-01       50.0   .430     20.00  .197E-01
   32  138  -61.8     .0    1   .274E+00  -.692E-01       50.0   .430     20.00  .724E-02
   33  139  -65.8     .0    1   .279E+00  -.682E-01       50.0   .430     20.00  .887E-03


 Time:    300.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1    1  -70.0     .0    1   .141E+00  -.678E-01       50.0   .430     20.00  .103E-03
    2   52   80.0     .0    2  -.111E+00   .568E-01         .0   .430     20.00  .781E-09
    3   53   76.1     .0    2  -.220E+00   .572E-01         .0   .430     20.00 -.744E-08
    4   54   72.3     .0    2  -.217E+00   .585E-01         .0   .430     20.00  .481E-07
    5   55   68.7     .0    2  -.216E+00   .607E-01         .0   .430     20.00  .442E-06
    6   56   65.2     .0    2  -.218E+00   .637E-01         .0   .430     20.00  .335E-05
    7   57   61.8     .0    2  -.223E+00   .678E-01         .0   .430     20.00  .160E-04
    8   58   58.6     .0    2  -.229E+00   .727E-01         .0   .430     20.00  .996E-04
    9   59   55.6     .0    2  -.237E+00   .790E-01         .0   .430     20.00  .338E-03
   10   60   52.6     .0    2  -.249E+00   .870E-01         .0   .430     20.00  .115E-02
   11   61   49.8     .0    2  -.263E+00   .966E-01         .0   .430     20.00  .286E-02
   12   62   47.2     .0    2  -.283E+00   .110E+00         .0   .430     20.00  .560E-02
   13   63   44.7     .0    2  -.309E+00   .126E+00         .0   .430     20.00  .869E-02
   14   64   42.3     .0    2  -.345E+00   .150E+00         .0   .430     20.00  .107E-01
   15   65   40.1     .0    2  -.390E+00   .180E+00         .0   .430     20.00  .103E-01
   16   66   38.0     .0    2  -.430E+00   .212E+00         .0   .430     20.00  .832E-02
