


                               Node(655)                                           Node(***)                                           Node(***)                                           Node(***)                                           Node(***)

     time        hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb    
    109.010     -9.230   .4098   20.000   .487E-10   .000E+00       18.692   .4300   20.000   .656E+00   .000E+00       47.555   .4300   20.000   .000E+00   .000E+00      -30.986   .3440   20.000   .000E+00   .000E+00        4.688   .4300   20.000   .397E-18   .000E+00
    109.861     -9.660   .4084   20.000   .510E-10   .000E+00       18.233   .4300   20.000   .664E+00   .000E+00       47.531   .4300   20.000   .000E+00   .000E+00      -31.226   .3434   20.000   .000E+00   .000E+00        4.377   .4300   20.000   .549E-18   .000E+00
    110.711    -10.060   .4072   20.000   .532E-10   .000E+00       17.810   .4300   20.000   .673E+00   .000E+00       47.508   .4300   20.000   .000E+00   .000E+00      -31.452   .3429   20.000   .000E+00   .000E+00        4.067   .4300   20.000   .755E-18   .000E+00
    111.561    -10.431   .4060   20.000   .555E-10   .000E+00       17.415   .4300   20.000   .681E+00   .000E+00       47.485   .4300   20.000   .000E+00   .000E+00      -31.664   .3424   20.000   .000E+00   .000E+00        3.743   .4300   20.000   .104E-17   .000E+00
    112.412    -10.779   .4049   20.000   .578E-10   .000E+00       17.047   .4300   20.000   .689E+00   .000E+00       47.463   .4300   20.000   .000E+00   .000E+00      -31.864   .3419   20.000   .000E+00   .000E+00        3.444   .4300   20.000   .141E-17   .000E+00
    113.262    -11.103   .4039   20.000   .602E-10   .000E+00       16.700   .4300   20.000   .697E+00   .000E+00       47.442   .4300   20.000   .000E+00   .000E+00      -32.053   .3414   20.000   .000E+00   .000E+00        3.182   .4300   20.000   .192E-17   .000E+00
    114.112    -11.404   .4030   20.000   .627E-10   .000E+00       16.371   .4300   20.000   .704E+00   .000E+00       47.422   .4300   20.000   .000E+00   .000E+00      -32.230   .3410   20.000   .000E+00   .000E+00        2.931   .4300   20.000   .259E-17   .000E+00
    114.963    -11.681   .4021   20.000   .652E-10   .000E+00       16.062   .4300   20.000   .712E+00   .000E+00       47.402   .4300   20.000   .000E+00   .000E+00      -32.397   .3405   20.000   .000E+00   .000E+00        2.689   .4300   20.000   .348E-17   .000E+00
    115.813    -11.941   .4012   20.000   .677E-10   .000E+00       15.768   .4300   20.000   .719E+00   .000E+00       47.383   .4300   20.000   .000E+00   .000E+00      -32.554   .3402   20.000   .000E+00   .000E+00        2.459   .4300   20.000   .466E-17   .000E+00
    116.664    -12.190   .4005   20.000   .701E-10   .000E+00       15.489   .4300   20.000   .726E+00   .000E+00       47.365   .4300   20.000   .000E+00   .000E+00      -32.702   .3398   20.000   .000E+00   .000E+00        2.238   .4300   20.000   .622E-17   .000E+00
