


                       Node( 23)                     Node( 28)                     Node(193)                     Node(988)                     Node(669)

     time        hNew    theta    Temp         hNew    theta    Temp         hNew    theta    Temp         hNew    theta    Temp         hNew    theta    Temp    
       .571    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
       .583    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
       .594    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
       .606    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
       .618    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
       .629    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
       .641    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
       .652    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
       .664    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
       .676    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
       .687    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
       .699    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
       .710    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
       .722    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
       .735    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
       .749    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
       .762    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
       .776    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
       .790    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
       .804    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
       .818    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
       .832    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
       .846    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
       .860    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
       .874    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
       .888    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
       .902    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
       .916    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
       .930    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
       .944    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
       .958    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
       .972    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
       .986    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.000    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.015    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.031    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.046    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.062    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.077    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.093    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
      1.108    -50.230   .0104   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000      -47.610   .0111   20.000
