 Welcome to HYDRUS-2D                                                    
 
 Program HYDRUS2
 Date:   5. 3.    Time:  15:52:28
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mmol 

 Max. number of iterations             20
 Absolute water content tolerance [-]  .00010
 Absolute pressure head tolerance [L]10.00000



MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l

    1     .070   .300    .750E-01    .170E+01    .864E+00   .500
    2     .040   .380    .155E+00    .243E+01    .864E+03   .500
    3     .005   .420    .493E+01    .219E+01    .432E+05   .500
    4     .160   .440    .200E-02    .126E+01    .864E-02   .500

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S
 
   .0273   -.236E+01   .3729E+00   .1120E-01   .6309E-01  -.1200E+01     .0538
   .0253   -.255E+01   .4072E+00   .9433E-02   .4263E-01  -.1370E+01     .0490
   .0235   -.276E+01   .4416E+00   .7942E-02   .2881E-01  -.1541E+01     .0446
   .0219   -.299E+01   .4759E+00   .6685E-02   .1946E-01  -.1711E+01     .0406
   .0203   -.324E+01   .5102E+00   .5626E-02   .1314E-01  -.1881E+01     .0370
   .0190   -.350E+01   .5445E+00   .4735E-02   .8877E-02  -.2052E+01     .0337
   .0177   -.379E+01   .5788E+00   .3984E-02   .5994E-02  -.2222E+01     .0306
   .0166   -.410E+01   .6132E+00   .3352E-02   .4048E-02  -.2393E+01     .0279
   .0155   -.444E+01   .6475E+00   .2821E-02   .2733E-02  -.2563E+01     .0254
   .0146   -.481E+01   .6818E+00   .2373E-02   .1845E-02  -.2734E+01     .0231
   .0137   -.520E+01   .7161E+00   .1996E-02   .1246E-02  -.2905E+01     .0210
   .0129   -.563E+01   .7505E+00   .1679E-02   .8409E-03  -.3075E+01     .0192
   .0122   -.609E+01   .7848E+00   .1413E-02   .5676E-03  -.3246E+01     .0174
   .0116   -.659E+01   .8191E+00   .1188E-02   .3832E-03  -.3417E+01     .0159
   .0110   -.714E+01   .8534E+00   .9996E-03   .2586E-03  -.3587E+01     .0144
   .0105   -.772E+01   .8877E+00   .8408E-03   .1746E-03  -.3758E+01     .0132
   .0100   -.836E+01   .9221E+00   .7073E-03   .1178E-03  -.3929E+01     .0120
   .0095   -.904E+01   .9564E+00   .5949E-03   .7953E-04  -.4099E+01     .0109
   .0091   -.979E+01   .9907E+00   .5004E-03   .5368E-04  -.4270E+01     .0099
   .0087   -.106E+02   .1025E+01   .4209E-03   .3623E-04  -.4441E+01     .0090
   .0084   -.115E+02   .1059E+01   .3540E-03   .2445E-04  -.4612E+01     .0082
   .0081   -.124E+02   .1094E+01   .2978E-03   .1651E-04  -.4782E+01     .0075
   .0078   -.134E+02   .1128E+01   .2504E-03   .1114E-04  -.4953E+01     .0068
   .0076   -.145E+02   .1162E+01   .2106E-03   .7519E-05  -.5124E+01     .0062
   .0073   -.157E+02   .1197E+01   .1772E-03   .5075E-05  -.5295E+01     .0056
   .0071   -.170E+02   .1231E+01   .1490E-03   .3425E-05  -.5465E+01     .0051
   .0069   -.184E+02   .1265E+01   .1253E-03   .2312E-05  -.5636E+01     .0047
   .0068   -.199E+02   .1300E+01   .1054E-03   .1560E-05  -.5807E+01     .0043
   .0066   -.216E+02   .1334E+01   .8867E-04   .1053E-05  -.5978E+01     .0039
   .0065   -.233E+02   .1368E+01   .7458E-04   .7106E-06  -.6148E+01     .0035
   .0063   -.253E+02   .1403E+01   .6272E-04   .4796E-06  -.6319E+01     .0032
   .0062   -.273E+02   .1437E+01   .5276E-04   .3237E-06  -.6490E+01     .0029
   .0061   -.296E+02   .1471E+01   .4437E-04   .2185E-06  -.6661E+01     .0027
   .0060   -.320E+02   .1506E+01   .3732E-04   .1474E-06  -.6831E+01     .0024
   .0059   -.347E+02   .1540E+01   .3139E-04   .9952E-07  -.7002E+01     .0022
   .0058   -.375E+02   .1574E+01   .2640E-04   .6716E-07  -.7173E+01     .0020
   .0058   -.406E+02   .1609E+01   .2220E-04   .4533E-07  -.7344E+01     .0018
