 Welcome to HYDRUS-2D                                                    
 
 Program HYDRUS2
 Date:  17. 2.    Time:  10:54:49
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mmol 

 Max. number of iterations             20
 Absolute water content tolerance [-]  .00050
 Absolute pressure head tolerance [L]  .10000



MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l       Qm     QsW  AlfaW      KsW

    1     .029   .366    .280E-01    .224E+01    .541E+03   .500   .366   .366   .056    .541E+03
    2     .106   .469    .520E-02    .140E+01    .131E+02   .500   .469   .469   .010    .131E+02

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S
   .4686   -.241E-02  -.2618E+01   .8594E-05   .1280E+02   .1107E+01    1.0000
   .4686   -.279E-02  -.2554E+01   .9106E-05   .1278E+02   .1107E+01    1.0000
   .4686   -.323E-02  -.2491E+01   .9649E-05   .1277E+02   .1106E+01    1.0000
   .4686   -.374E-02  -.2427E+01   .1023E-04   .1275E+02   .1105E+01    1.0000
   .4686   -.433E-02  -.2364E+01   .1084E-04   .1272E+02   .1105E+01    1.0000
   .4686   -.501E-02  -.2300E+01   .1148E-04   .1270E+02   .1104E+01    1.0000
   .4686   -.580E-02  -.2236E+01   .1217E-04   .1268E+02   .1103E+01    1.0000
   .4686   -.672E-02  -.2173E+01   .1289E-04   .1265E+02   .1102E+01    1.0000
   .4686   -.778E-02  -.2109E+01   .1366E-04   .1263E+02   .1101E+01    1.0000
   .4686   -.901E-02  -.2045E+01   .1448E-04   .1260E+02   .1100E+01    1.0000
   .4686   -.104E-01  -.1982E+01   .1534E-04   .1257E+02   .1099E+01    1.0000
   .4686   -.121E-01  -.1918E+01   .1626E-04   .1254E+02   .1098E+01    1.0000
   .4686   -.140E-01  -.1854E+01   .1723E-04   .1250E+02   .1097E+01    1.0000
   .4686   -.162E-01  -.1791E+01   .1825E-04   .1247E+02   .1096E+01    1.0000
   .4686   -.187E-01  -.1727E+01   .1934E-04   .1243E+02   .1095E+01    1.0000
   .4686   -.217E-01  -.1663E+01   .2050E-04   .1239E+02   .1093E+01    1.0000
   .4686   -.251E-01  -.1600E+01   .2172E-04   .1235E+02   .1092E+01    1.0000
   .4686   -.291E-01  -.1536E+01   .2301E-04   .1231E+02   .1090E+01    1.0000
   .4686   -.337E-01  -.1472E+01   .2439E-04   .1226E+02   .1088E+01    1.0000
   .4686   -.390E-01  -.1409E+01   .2584E-04   .1221E+02   .1087E+01    1.0000
   .4686   -.452E-01  -.1345E+01   .2738E-04   .1216E+02   .1085E+01    1.0000
