


                               Node(***)                                           Node(***)                                           Node(***)                                           Node(***)

     time        hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb         hNew    theta    Temp       Conc       Sorb    
       .114  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .486E-21   .000E+00      -28.061   .1931   20.000   .812E+00   .000E+00
       .118  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .207E-20   .000E+00      -27.705   .1950   20.000   .816E+00   .000E+00
       .122  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .939E-20   .000E+00      -27.400   .1966   20.000   .819E+00   .000E+00
       .126  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .448E-19   .000E+00      -27.128   .1981   20.000   .823E+00   .000E+00
       .130  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .204E-18   .000E+00      -26.867   .1995   20.000   .826E+00   .000E+00
       .134  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .772E-18   .000E+00      -26.618   .2008   20.000   .830E+00   .000E+00
       .138  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .248E-17   .000E+00      -26.377   .2021   20.000   .833E+00   .000E+00
       .142  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .750E-17   .000E+00      -26.141   .2033   20.000   .836E+00   .000E+00
       .146  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .231E-16   .000E+00      -25.910   .2046   20.000   .839E+00   .000E+00
       .150  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .752E-16   .000E+00      -25.715   .2056   20.000   .842E+00   .000E+00
       .154  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .257E-15   .000E+00      -25.557   .2065   20.000   .845E+00   .000E+00
       .158  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .925E-15   .000E+00      -25.428   .2073   20.000   .848E+00   .000E+00
       .162  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .351E-14   .000E+00      -25.307   .2081   20.000   .850E+00   .000E+00
       .165  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .143E-13   .000E+00      -25.192   .2088   20.000   .853E+00   .000E+00
       .169  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .606E-13   .000E+00      -25.081   .2095   20.000   .856E+00   .000E+00
       .173  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .260E-12   .000E+00      -24.979   .2101   20.000   .858E+00   .000E+00
       .179  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .162E-11   .000E+00      -24.853   .2109   20.000   .861E+00   .000E+00
       .184  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .652E-11   .000E+00      -24.728   .2117   20.000   .864E+00   .000E+00
       .189  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .236E-10   .000E+00      -24.605   .2125   20.000   .867E+00   .000E+00
       .194  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .946E-10   .000E+00      -24.484   .2133   20.000   .870E+00   .000E+00
       .199  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -999.999   .0341   20.000   .408E-09   .000E+00      -24.373   .2140   20.000   .873E+00   .000E+00
       .204  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -999.997   .0341   20.000   .174E-08   .000E+00      -24.272   .2146   20.000   .876E+00   .000E+00
       .209  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -999.993   .0341   20.000   .707E-08   .000E+00      -24.195   .2151   20.000   .879E+00   .000E+00
       .214  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -999.982   .0341   20.000   .271E-07   .000E+00      -24.128   .2155   20.000   .881E+00   .000E+00
       .220  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -999.955   .0341   20.000   .105E-06   .000E+00      -24.068   .2159   20.000   .884E+00   .000E+00
       .225  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -999.909   .0341   20.000   .248E-06   .000E+00      -24.013   .2162   20.000   .886E+00   .000E+00
       .230  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -999.849   .0341   20.000   .461E-06   .000E+00      -23.962   .2166   20.000   .888E+00   .000E+00
       .235  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -999.734   .0341   20.000   .106E-05   .000E+00      -23.913   .2169   20.000   .891E+00   .000E+00
       .240  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -999.469   .0341   20.000   .329E-05   .000E+00      -23.865   .2172   20.000   .893E+00   .000E+00
       .245  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -998.756   .0341   20.000   .116E-04   .000E+00      -23.819   .2174   20.000   .895E+00   .000E+00
       .250  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -996.655   .0341   20.000   .432E-04   .000E+00      -23.775   .2177   20.000   .897E+00   .000E+00
       .256  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -991.338   .0341   20.000   .148E-03   .000E+00      -23.734   .2180   20.000   .899E+00   .000E+00
       .262  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -969.182   .0343   20.000   .682E-03   .000E+00      -23.693   .2183   20.000   .902E+00   .000E+00
       .269  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -918.347   .0347   20.000   .250E-02   .000E+00      -23.651   .2185   20.000   .905E+00   .000E+00
       .275  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -735.386   .0355   20.000   .712E-02   .000E+00      -23.614   .2187   20.000   .907E+00   .000E+00
       .282  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -559.596   .0368   20.000   .163E-01   .000E+00      -23.580   .2190   20.000   .910E+00   .000E+00
       .289  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -422.878   .0388   20.000   .318E-01   .000E+00      -23.550   .2191   20.000   .912E+00   .000E+00
       .295  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -322.201   .0415   20.000   .549E-01   .000E+00      -23.521   .2193   20.000   .914E+00   .000E+00
       .302  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -250.286   .0449   20.000   .853E-01   .000E+00      -23.494   .2195   20.000   .916E+00   .000E+00
       .309  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -198.831   .0490   20.000   .122E+00   .000E+00      -23.469   .2197   20.000   .918E+00   .000E+00
       .315  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -161.779   .0540   20.000   .164E+00   .000E+00      -23.447   .2198   20.000   .920E+00   .000E+00
       .322  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -134.417   .0595   20.000   .210E+00   .000E+00      -23.426   .2199   20.000   .922E+00   .000E+00
       .329  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00     -113.567   .0657   20.000   .258E+00   .000E+00      -23.408   .2200   20.000   .924E+00   .000E+00
       .335  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -98.061   .0723   20.000   .304E+00   .000E+00      -23.391   .2201   20.000   .926E+00   .000E+00
       .342  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -85.807   .0794   20.000   .348E+00   .000E+00      -23.375   .2202   20.000   .928E+00   .000E+00
       .349  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -76.277   .0866   20.000   .388E+00   .000E+00      -23.361   .2203   20.000   .930E+00   .000E+00
       .355  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -68.492   .0939   20.000   .422E+00   .000E+00      -23.348   .2204   20.000   .932E+00   .000E+00
       .362  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -61.940   .1013   20.000   .452E+00   .000E+00      -23.336   .2205   20.000   .933E+00   .000E+00
       .369  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -57.064   .1086   20.000   .476E+00   .000E+00      -23.324   .2206   20.000   .935E+00   .000E+00
       .375  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -52.643   .1157   20.000   .497E+00   .000E+00      -23.314   .2206   20.000   .936E+00   .000E+00
       .382  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -49.173   .1227   20.000   .515E+00   .000E+00      -23.304   .2207   20.000   .938E+00   .000E+00
       .388  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -45.902   .1294   20.000   .531E+00   .000E+00      -23.295   .2207   20.000   .939E+00   .000E+00
       .395  -1000.000   .0341   20.000   .000E+00   .000E+00    -1000.000   .0341   20.000   .000E+00   .000E+00      -43.486   .1359   20.000   .545E+00   .000E+00      -23.287   .2208   20.000   .941E+00   .000E+00
