 Irrigation from pond                                                    
 
 Program HYDRUS2
 Date:  14.12.    Time:   8:56:15
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mmol 


 Time:       .2000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    9   74   53.2   79.6    1   .289E+02  -.362E+01        2.1   .430     23.69  .925E+00
   10   75   45.2   78.6    1   .235E+02  -.293E+01        3.1   .430     23.54  .905E+00
   11   76   37.2   77.8    1   .195E+02  -.243E+01        3.8   .430     23.39  .881E+00
   12   77   29.2   77.2    1   .167E+02  -.207E+01        4.4   .430     23.27  .860E+00
   13   78   21.1   76.9    1   .149E+02  -.184E+01        4.8   .430     23.17  .843E+00
   14   79   13.0   76.7    1   .140E+02  -.173E+01        5.0   .430     23.12  .833E+00
   15   80    4.9   76.7    1   .139E+02  -.172E+01        5.0   .430     23.11  .833E+00
   16   81   -3.2   76.9    1   .147E+02  -.181E+01        4.8   .430     23.16  .841E+00
   17   82  -11.3   77.2    1   .163E+02  -.201E+01        4.5   .430     23.24  .858E+00
   18   83  -19.4   77.8    1   .190E+02  -.234E+01        3.9   .430     23.36  .880E+00
   19   84  -27.5   78.5    1   .230E+02  -.283E+01        3.2   .430     23.50  .903E+00
   20   85  -35.5   79.4    1   .290E+02  -.357E+01        2.3   .430     23.64  .925E+00
   21   86  -43.6   80.4    1   .378E+02  -.467E+01        1.2   .430     23.77  .945E+00
   22   87  -51.6   81.7    1   .513E+02  -.636E+01         .0   .430     23.84  .951E+00
   23   88  -59.5   83.0    1   .920E+02  -.228E+02       -1.4   .429     23.88  .947E+00


 Time:      4.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1   17 -200.0   14.7    1  -.204E+03   .278E+02        5.3   .460     20.28  .491E-02
    2   18 -200.0     .0    1  -.517E+02   .705E+01       20.0   .460     20.27  .122E-02
    3   44  200.0     .0    1  -.537E+02   .733E+01       20.0   .460     20.49  .534E-02
    4   45  200.0   14.7    1  -.241E+03   .329E+02        5.3   .460     20.51  .196E-01
    5   70   84.3   85.5    1   .652E+02  -.165E+02       -3.9   .424     23.86  .946E+00
    6   71   76.6   83.7    1   .564E+02  -.712E+01       -2.1   .428     24.02  .965E+00
    7   72   68.9   82.1    1   .438E+02  -.552E+01        -.5   .430     24.03  .965E+00
    8   73   61.0   80.8    1   .357E+02  -.449E+01         .9   .430     23.97  .958E+00
    9   74   53.2   79.6    1   .280E+02  -.350E+01        2.1   .430     23.85  .940E+00
