 Welcome to HYDRUS-2D                                                    
 
 Program HYDRUS2
 Date:  18. 2.    Time:  15:54:45
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mmol 

 Max. number of iterations             20
 Absolute water content tolerance [-]  .00010
 Absolute pressure head tolerance [L]  .00100



MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l       Qm     Qa     Qk       Kk

    1     .000  1.000    .150E+01    .120E+01    .500E+00   .500  1.000   .000  1.000    .500E+00

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S
   .8311   -.120E+01   .8081E-01   .9251E-01   .1912E-02  -.2719E+01     .8311
   .8045   -.152E+01   .1818E+00   .7716E-01   .1192E-02  -.2924E+01     .8045
   .7767   -.192E+01   .2828E+00   .6321E-01   .7283E-03  -.3138E+01     .7767
   .7482   -.242E+01   .3838E+00   .5098E-01   .4370E-03  -.3360E+01     .7482
   .7195   -.305E+01   .4848E+00   .4058E-01   .2583E-03  -.3588E+01     .7195
   .6907   -.385E+01   .5859E+00   .3196E-01   .1509E-03  -.3821E+01     .6907
   .6623   -.486E+01   .6869E+00   .2494E-01   .8727E-04  -.4059E+01     .6623
   .6344   -.614E+01   .7879E+00   .1933E-01   .5009E-04  -.4300E+01     .6344
   .6071   -.774E+01   .8889E+00   .1490E-01   .2857E-04  -.4544E+01     .6071
   .5807   -.977E+01   .9899E+00   .1143E-01   .1622E-04  -.4790E+01     .5807
   .5552   -.123E+02   .1091E+01   .8743E-02   .9177E-05  -.5037E+01     .5552
   .5306   -.156E+02   .1192E+01   .6669E-02   .5177E-05  -.5286E+01     .5306
   .5069   -.196E+02   .1293E+01   .5077E-02   .2914E-05  -.5535E+01     .5069
   .4842   -.248E+02   .1394E+01   .3859E-02   .1638E-05  -.5786E+01     .4842
   .4625   -.313E+02   .1495E+01   .2930E-02   .9193E-06  -.6037E+01     .4625
   .4416   -.394E+02   .1596E+01   .2223E-02   .5155E-06  -.6288E+01     .4416
   .4217   -.498E+02   .1697E+01   .1685E-02   .2888E-06  -.6539E+01     .4217
   .4026   -.628E+02   .1798E+01   .1277E-02   .1618E-06  -.6791E+01     .4026
   .3844   -.792E+02   .1899E+01   .9669E-03   .9056E-07  -.7043E+01     .3844
   .3669   -.100E+03   .2000E+01   .7321E-03   .5068E-07  -.7295E+01     .3669
end
