        105.0    443576.3      9744.2      2193.4       884.4       472.7       298.2       208.4       152.6       114.8       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0       105.0
        110.0    443581.3      9749.2      2198.4       889.4       477.7       303.2       213.4       157.6       119.8       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0       110.0
        115.0    443586.3      9754.2      2203.4       894.4       482.7       308.2       218.4       162.6       124.8       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0       115.0
        120.0    443591.3      9759.2      2208.4       899.4       487.7       313.2       223.4       167.6       129.8       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0       120.0
        125.0    443596.3      9764.2      2213.4       904.4       492.7       318.2       228.4       172.6       134.8       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0       125.0
        130.0    443601.3      9769.2      2218.4       909.4       497.7       323.2       233.4       177.6       139.8       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0       130.0
        135.0    443606.3      9774.2      2223.4       914.4       502.7       328.2       238.4       182.6       144.8       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0       135.0
        140.0    443611.3      9779.2      2228.4       919.4       507.7       333.2       243.4       187.6       149.8       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0       140.0
        145.0    443616.3      9784.2      2233.4       924.4       512.7       338.2       248.4       192.6       154.8       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0       145.0
        150.0    443621.3      9789.2      2238.4       929.4       517.7       343.2       253.4       197.6       159.8       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0       150.0
        155.0    443626.3      9794.2      2243.4       934.4       522.7       348.2       258.4       202.6       164.8       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0       155.0
        160.0    443631.3      9799.2      2248.4       939.4       527.7       353.2       263.4       207.6       169.8       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0       160.0
        165.0    443636.3      9804.2      2253.4       944.4       532.7       358.2       268.4       212.6       174.8       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0       165.0
