 Water flow to a stream - 1                                              
 
 Program HYDRUS2
 Date:  17. 2.    Time:  13:11:31
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mmol 

 Max. number of iterations             20
 Absolute water content tolerance [-]  .00050
 Absolute pressure head tolerance [L] 1.00000



MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l       Qm     Qa     Qk       Kk

    1     .078   .430    .360E-01    .156E+01    .250E+02   .500   .430   .078   .430    .250E+02

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S
   .1882   -.215E+03   .2333E+01   .2751E-03   .2856E-02  -.2544E+01     .3130
   .1802   -.248E+03   .2394E+01   .2236E-03   .1798E-02  -.2745E+01     .2903
   .1727   -.285E+03   .2455E+01   .1814E-03   .1130E-02  -.2947E+01     .2691
   .1657   -.327E+03   .2515E+01   .1469E-03   .7085E-03  -.3150E+01     .2493
   .1593   -.376E+03   .2576E+01   .1188E-03   .4436E-03  -.3353E+01     .2309
   .1533   -.433E+03   .2636E+01   .9603E-04   .2774E-03  -.3557E+01     .2138
   .1477   -.498E+03   .2697E+01   .7752E-04   .1733E-03  -.3761E+01     .1979
   .1425   -.572E+03   .2758E+01   .6254E-04   .1082E-03  -.3966E+01     .1832
   .1377   -.658E+03   .2818E+01   .5042E-04   .6751E-04  -.4171E+01     .1695
   .1332   -.756E+03   .2879E+01   .4063E-04   .4209E-04  -.4376E+01     .1568
   .1291   -.870E+03   .2939E+01   .3274E-04   .2624E-04  -.4581E+01     .1451
   .1253   -.100E+04   .3000E+01   .2636E-04   .1635E-04  -.4787E+01     .1342
end
